aluno_anon,opcao,unidade,g,h,bairro_fam,situacao,pontos,irmao,pais_menor18
aluno_0073452,4,0918833,Maternal II ,Integral,INHOAIBA,Cancelado pelo sistema,53,1,0
aluno_0073452,5,0918806,Maternal II ,Parcial,INHOAIBA,Cancelado pelo sistema,53,1,0
aluno_0073454,1,03022,Maternal II ,Integral,PILARES,Cancelado pelo sistema,55,0,0
aluno_0073454,2,0313802,Maternal II ,Integral,PILARES,Confirmado,55,0,0
aluno_0073462,1,0817607,Maternal II ,Parcial,BANGU,Confirmado,55,0,0
aluno_0073462,2,08004,Maternal II ,Integral,BANGU,Cancelado pelo sistema,55,0,0
aluno_0073462,3,0817602,Maternal II ,Integral,BANGU,Cancelado pelo sistema,55,0,0
aluno_0073463,1,1026802,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,53,1,0
aluno_0073463,2,1026806,Maternal II ,Integral,GUARATIBA,Confirmado,53,1,0
aluno_0073463,3,10063,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,53,1,0
aluno_0073466,1,02063,Maternal II ,Integral,ENGENHO NOVO,Cancelado pelo sistema,55,0,0
aluno_0073470,1,0716611,Maternal II ,Integral,JARDIM SULACAP,Cancelado pelo sistema,2,0,0
aluno_0073470,1,0833505,Maternal II ,Integral,JARDIM SULACAP,Confirmado,2,0,0
aluno_0073470,2,0716816,Maternal II ,Integral,JARDIM SULACAP,Cancelado pelo sistema,2,0,0
aluno_0073470,2,0833602,Maternal II ,Integral,JARDIM SULACAP,Cancelado pelo sistema,2,0,0
aluno_0073470,3,0833601,Maternal II ,Integral,JARDIM SULACAP,Cancelado pelo sistema,2,0,0
aluno_0073472,1,0410804,Maternal II ,Integral,OLARIA,Confirmado,2,0,0
aluno_0073472,2,04024,Maternal II ,Integral,OLARIA,Cancelado pelo sistema,2,0,0
aluno_0073472,3,04029,Maternal II ,Integral,OLARIA,Cancelado pelo sistema,2,0,0
aluno_0073475,1,05005,Maternal II ,Integral,ENGENHEIRO LEAL,Cancelado pelo sistema,6,1,0
aluno_0073475,1,05005,Maternal II ,Integral,ENGENHEIRO LEAL,Cancelado pelo sistema,6,1,0
aluno_0073475,2,0515805,Maternal II ,Integral,ENGENHEIRO LEAL,Cancelado pelo sistema,6,1,0
aluno_0073475,2,0515805,Maternal II ,Integral,ENGENHEIRO LEAL,Cancelado pelo sistema,6,1,0
aluno_0073475,3,0515503,Maternal II ,Integral,ENGENHEIRO LEAL,Confirmado,6,1,0
aluno_0073475,3,0515503,Maternal II ,Integral,ENGENHEIRO LEAL,Cancelado pelo sistema,6,1,0
aluno_0073476,1,1019602,Maternal II ,Integral,SANTA CRUZ,Cancelado pelo sistema,0,0,0
aluno_0073476,2,1019830,Maternal II ,Integral,SANTA CRUZ,Confirmado,0,0,0
aluno_0073476,3,10070,Maternal II ,Integral,SANTA CRUZ,Cancelado pelo sistema,0,0,0
aluno_0073480,1,0107610,Maternal II ,Integral,BENFICA,Lista de espera,4,0,0
aluno_0073480,2,01010,Maternal II ,Integral,BENFICA,Cancelado na confirmacao,4,0,0
aluno_0073485,1,03004,Maternal II ,Integral,JACARE,Cancelado pelo sistema,53,0,0
aluno_0073485,2,03005,Maternal II ,Integral,JACARE,Confirmado,53,0,0
aluno_0073486,1,09035,Maternal II ,Integral,CAMPO GRANDE,Confirmado,78,1,0
aluno_0073487,1,09009,Maternal II ,Integral,CAMPO GRANDE,Confirmado,53,1,0
aluno_0073489,1,0716803,Maternal II ,Integral,ANIL,Cancelado na confirmacao,0,0,0
aluno_0073489,2,0716819,Maternal II ,Integral,ANIL,Cancelado na confirmacao,0,0,0
aluno_0073489,3,0716822,Maternal II ,Integral,ANIL,Cancelado na confirmacao,0,0,0
aluno_0073489,4,0716818,Maternal II ,Integral,ANIL,Cancelado na confirmacao,0,0,0
aluno_0073492,1,08004,Maternal II ,Integral,BANGU,Cancelado pelo sistema,0,0,0
aluno_0073492,2,0817607,Maternal II ,Parcial,BANGU,Confirmado,0,0,0
aluno_0073492,3,0817612,Maternal II ,Parcial,BANGU,Cancelado pelo sistema,0,0,0
aluno_0073493,1,0817505,Maternal II ,Parcial,BANGU,Cancelado na confirmacao,53,0,0
aluno_0073497,1,0724808,Maternal II ,Integral,RECREIO DOS BANDEIRANTES,Confirmado,2,1,0
aluno_0073499,1,0716822,Maternal II ,Integral,GARDENIA AZUL,Cancelado pelo sistema,53,1,0
aluno_0073499,2,0716819,Maternal II ,Integral,GARDENIA AZUL,Cancelado pelo sistema,53,1,0
aluno_0073499,3,07019,Maternal II ,Integral,GARDENIA AZUL,Confirmado,53,1,0
aluno_0073501,1,06009,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,0,0
aluno_0073501,2,06005,Maternal II ,Integral,ANCHIETA,Confirmado,53,0,0
aluno_0073501,3,06003,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,0,0
aluno_0073501,4,06001,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,0,0
aluno_0073506,1,1120606,Maternal II ,Integral,TAUA,Cancelado pelo sistema,53,1,0
aluno_0073506,2,11008,Maternal II ,Integral,TAUA,Confirmado,53,1,0
aluno_0073506,3,11006,Maternal II ,Integral,TAUA,Cancelado pelo sistema,53,1,0
aluno_0073510,1,0833806,Maternal II ,Parcial,REALENGO,Cancelado,2,0,0
aluno_0073511,1,0817801,Maternal II ,Integral,BANGU,Confirmado,4,0,0
aluno_0073511,2,0817202,Maternal II ,Integral,BANGU,Cancelado pelo sistema,4,0,0
aluno_0073517,1,10053,Maternal II ,Integral,SANTA CRUZ,Confirmado,0,0,0
aluno_0073518,1,0625819,Maternal II ,Integral,COSTA BARROS,Cancelado pelo sistema,59,0,0
aluno_0073518,2,0625818,Maternal II ,Integral,COSTA BARROS,Cancelado pelo sistema,59,0,0
aluno_0073518,3,0625807,Maternal II ,Integral,COSTA BARROS,Confirmado,59,0,0
aluno_0073521,1,0716812,Maternal II ,Integral,ITANHANGA,Confirmado,2,0,0
aluno_0073521,2,0716814,Maternal II ,Parcial,ITANHANGA,Cancelado pelo sistema,2,0,0
aluno_0073521,3,0716805,Maternal II ,Integral,ITANHANGA,Cancelado pelo sistema,2,0,0
aluno_0073521,4,0716609,Maternal II ,Integral,ITANHANGA,Cancelado pelo sistema,2,0,0
aluno_0073528,1,0716613,Maternal II ,Integral,BARRA DA TIJUCA,Lista de espera,2,0,0
aluno_0073528,2,0716820,Maternal II ,Integral,BARRA DA TIJUCA,Lista de espera,2,0,0
aluno_0073528,3,0716813,Maternal II ,Integral,BARRA DA TIJUCA,Lista de espera,2,0,0
aluno_0073528,4,0716807,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado na confirmacao,2,0,0
aluno_0073528,5,0724805,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado na confirmacao,2,0,0
aluno_0073539,1,07002,Maternal II ,Integral,VARGEM PEQUENA,Cancelado na confirmacao,0,0,0
aluno_0073539,1,07015,Maternal II ,Integral,VARGEM PEQUENA,Confirmado,0,0,0
aluno_0073542,1,09017,Maternal II ,Integral,CAMPO GRANDE,Confirmado,2,0,0
aluno_0073544,1,0724807,Maternal II ,Integral,ITANHANGA,Confirmado,59,1,1
aluno_0073544,1,0724804,Maternal II ,Integral,ITANHANGA,Cancelado pelo sistema,59,1,1
aluno_0073544,2,0716812,Maternal II ,Integral,ITANHANGA,Cancelado pelo sistema,59,1,1
aluno_0073544,3,0716601,Maternal II ,Integral,ITANHANGA,Cancelado pelo sistema,59,1,1
aluno_0073546,1,10035,Maternal II ,Integral,SEPETIBA,Confirmado,53,0,0
aluno_0073547,1,0734805,Maternal II ,Integral,CIDADE DE DEUS,Cancelado na confirmacao,53,1,0
aluno_0073548,1,0515605,Maternal II ,Integral,TURIACU,Confirmado,57,0,0
aluno_0073556,1,0515801,Maternal II ,Integral,COELHO NETO,Cancelado pelo sistema,53,0,0
aluno_0073556,2,05001,Maternal II ,Integral,COELHO NETO,Cancelado pelo sistema,53,0,0
aluno_0073556,3,05015,Maternal II ,Integral,COELHO NETO,Confirmado,53,0,0
aluno_0073558,1,0833806,Maternal II ,Parcial,REALENGO,Confirmado,66,1,0
aluno_0073558,2,0817808,Maternal II ,Parcial,REALENGO,Cancelado pelo sistema,66,1,0
aluno_0073559,1,1019614,Maternal II ,Integral,PACIENCIA,Cancelado pelo sistema,2,0,0
aluno_0073559,2,1019811,Maternal II ,Integral,PACIENCIA,Confirmado,2,0,0
aluno_0073559,3,1019808,Maternal II ,Integral,PACIENCIA,Cancelado pelo sistema,2,0,0
aluno_0073559,4,10064,Maternal II ,Integral,PACIENCIA,Cancelado pelo sistema,2,0,0
aluno_0073560,1,1019618,Maternal II ,Integral,SANTA CRUZ,Confirmado,25,0,0
aluno_0073569,1,02055,Maternal II ,Integral,COPACABANA,Confirmado,4,0,0
aluno_0073570,1,0716824,Maternal II ,Integral,JACAREPAGUA,Confirmado,57,0,0
aluno_0073571,1,09046,Maternal II ,Integral,SANTISSIMO,Cancelado pelo sistema,51,0,0
aluno_0073571,1,0817618,Maternal II ,Parcial,SANTISSIMO,Cancelado na confirmacao,51,0,0
aluno_0073571,2,0918613,Maternal II ,Integral,SANTISSIMO,Cancelado na confirmacao,51,0,0
aluno_0073571,3,09013,Maternal II ,Integral,SANTISSIMO,Confirmado,51,0,0
aluno_0073571,4,0918837,Maternal II ,Integral,SANTISSIMO,Cancelado pelo sistema,51,0,0
aluno_0073572,1,0410808,Maternal II ,Integral,PENHA,Confirmado,53,1,0
aluno_0073572,1,0410808,Maternal II ,Integral,PENHA,Cancelado,53,1,0
aluno_0073572,2,0410805,Maternal II ,Integral,PENHA,Cancelado na confirmacao,53,1,0
aluno_0073572,2,0410805,Maternal II ,Integral,PENHA,Cancelado,53,1,0
aluno_0073574,1,0817618,Maternal II ,Parcial,SENADOR CAMARA,Cancelado pelo sistema,0,1,0
aluno_0073574,2,08014,Maternal II ,Integral,SENADOR CAMARA,Cancelado pelo sistema,0,1,0
aluno_0073574,3,0817601,Maternal II ,Parcial,SENADOR CAMARA,Confirmado,0,1,0
aluno_0073574,4,0817610,Maternal II ,Parcial,SENADOR CAMARA,Cancelado pelo sistema,0,1,0
aluno_0073574,5,0817614,Maternal II ,Parcial,SENADOR CAMARA,Cancelado pelo sistema,0,1,0
aluno_0073576,1,0817504,Maternal II ,Integral,SENADOR CAMARA,Confirmado,55,1,0
aluno_0073577,1,10074,Maternal II ,Integral,PACIENCIA,Confirmado,0,0,0
aluno_0073578,1,08007,Maternal II ,Integral,BANGU,Cancelado pelo sistema,0,0,0
aluno_0073578,2,0817604,Maternal II ,Integral,BANGU,Confirmado,0,0,0
aluno_0073578,3,0817804,Maternal II ,Integral,BANGU,Cancelado pelo sistema,0,0,0
aluno_0073579,1,03026,Maternal II ,Integral,MANGUINHOS,Cancelado pelo sistema,57,0,0
aluno_0073579,1,0410803,Maternal II ,Integral,MANGUINHOS,Cancelado pelo sistema,57,0,0
aluno_0073579,2,0328601,Maternal II ,Integral,MANGUINHOS,Confirmado,57,0,0
aluno_0073580,1,05010,Maternal II ,Integral,ACARI,Cancelado na confirmacao,51,0,0
aluno_0073580,1,0625608,Maternal II ,Integral,ACARI,Cancelado na confirmacao,51,0,0
aluno_0073580,2,0625615,Maternal II ,Integral,ACARI,Cancelado na confirmacao,51,0,0
aluno_0073580,2,0514604,Maternal II ,Integral,ACARI,Cancelado na confirmacao,51,0,0
aluno_0073580,3,0625611,Maternal II ,Integral,ACARI,Cancelado na confirmacao,51,0,0
aluno_0073582,1,0514009,Maternal II ,Parcial,IRAJA,Confirmado,57,0,0
aluno_0073582,2,05012,Maternal II ,Integral,IRAJA,Cancelado pelo sistema,57,0,0
aluno_0073582,3,0514602,Maternal II ,Integral,IRAJA,Cancelado pelo sistema,57,0,0
aluno_0073582,4,05010,Maternal II ,Integral,IRAJA,Cancelado pelo sistema,57,0,0
aluno_0073582,5,0514609,Maternal II ,Integral,IRAJA,Cancelado pelo sistema,57,0,0
aluno_0073584,1,0918826,Maternal II ,Parcial,COSMOS,Confirmado,0,0,0
aluno_0073588,1,0833505,Maternal II ,Integral,REALENGO,Confirmado,53,0,0
aluno_0073588,1,0833602,Maternal II ,Integral,REALENGO,Cancelado pelo sistema,53,0,0
aluno_0073588,2,08010,Maternal II ,Integral,REALENGO,Cancelado pelo sistema,53,0,0
aluno_0073588,3,08013,Maternal II ,Integral,REALENGO,Cancelado pelo sistema,53,0,0
aluno_0073589,1,1019618,Maternal II ,Integral,SANTA CRUZ,Confirmado,53,0,0
aluno_0073589,2,1019803,Maternal II ,Integral,SANTA CRUZ,Cancelado pelo sistema,53,0,0
aluno_0073592,1,0833807,Maternal II ,Integral,REALENGO,Cancelado,53,0,0
aluno_0073592,1,0833807,Maternal II ,Integral,REALENGO,Cancelado,53,0,0
aluno_0073592,2,08017,Maternal II ,Integral,REALENGO,Cancelado,53,0,0
