unidade,g,h,capacidade
0622603,Maternal II ,Integral,11
0622603,Maternal I,Parcial,21
0625605,Berçário,Integral,34
0625606,Berçário,Integral,68
0625611,Berçário,Integral,30
0625614,Maternal I,Integral,45
0625815,Maternal I,Integral,21
07002,Berçário,Integral,29
07002,Maternal II ,Integral,20
07003,Maternal I,Integral,61
07004,Maternal I,Integral,85
07025,Maternal I,Integral,90
07027,Maternal II ,Integral,8
07040,Maternal I,Integral,20
07042,Berçário,Integral,31
0716602,Maternal II ,Parcial,21
0716605,Berçário,Integral,30
0716606,Maternal II ,Integral,28
0716802,Maternal II ,Integral,56
0716803,Berçário,Integral,34
0716805,Maternal II ,Integral,45
0716806,Berçário,Integral,34
0716809,Maternal II ,Integral,21
0716809,Berçário,Integral,29
0716821,Maternal II ,Integral,40
0716822,Berçário,Integral,55
0724603,Maternal II ,Parcial,56
0724807,Berçário,Integral,36
0734802,Berçário,Integral,67
0734805,Maternal I,Integral,49
08002,Maternal II ,Integral,9
08002,Maternal I,Integral,7
08010,Maternal II ,Integral,3
08011,Maternal II ,Integral,3
08014,Maternal II ,Integral,29
08015,Maternal II ,Integral,23
08016,Maternal I,Integral,68
08018,Maternal I,Integral,31
08024,Berçário,Integral,35
0817202,Maternal II ,Integral,13
0817601,Maternal I,Parcial,40
0817602,Berçário,Integral,49
0817604,Maternal II ,Integral,17
0817612,Maternal II ,Parcial,8
0817613,Maternal I,Integral,37
0817619,Maternal I,Parcial,34
0817802,Maternal I,Integral,49
0817802,Maternal II ,Parcial,35
0817803,Berçário,Parcial,74
0817804,Maternal I,Integral,11
0817808,Maternal I,Parcial,51
0833603,Maternal I,Integral,23
0833806,Maternal II ,Parcial,63
0833811,Berçário,Integral,14
09008,Maternal I,Integral,5
09022,Berçário,Integral,34
09027,Maternal II ,Integral,12
09038,Maternal I,Integral,24
0918606,Maternal I,Parcial,8
0918609,Maternal I,Integral,13
0918610,Maternal I,Integral,14
0918613,Maternal I,Integral,34
0918616,Maternal I,Integral,27
0918618,Maternal I,Parcial,36
0918619,Berçário,Integral,52
0918801,Maternal II ,Parcial,10
0918802,Berçário,Parcial,53
0918810,Maternal I,Integral,20
0918818,Maternal I,Parcial,28
0918824,Maternal I,Integral,4
0918825,Berçário,Integral,31
0918826,Maternal I,Integral,20
0918830,Maternal I,Parcial,25
0918834,Berçário,Integral,47
0918835,Berçário,Integral,52
0918837,Berçário,Integral,48
10006,Maternal II ,Integral,17
10010,Maternal II ,Integral,17
10024,Maternal II ,Integral,6
10026,Maternal I,Integral,81
10036,Berçário,Integral,36
10036,Maternal I,Integral,34
10037,Berçário,Integral,31
10039,Maternal I,Integral,61
10051,Berçário,Integral,72
10051,Maternal I,Integral,31
10053,Maternal I,Integral,16
10063,Maternal I,Integral,31
10064,Maternal II ,Integral,13
10065,Berçário,Integral,38
10065,Maternal I,Integral,10
10066,Berçário,Integral,65
10066,Maternal II ,Integral,11
10067,Maternal II ,Integral,10
10068,Berçário,Integral,52
10070,Maternal I,Integral,15
10072,Berçário,Integral,21
10083,Maternal I,Integral,6
1019603,Maternal I,Integral,29
1019606,Maternal II ,Parcial,20
1019614,Maternal II ,Integral,6
1019623,Maternal I,Integral,27
1019633,Maternal II ,Integral,11
1019801,Maternal I,Integral,39
1019808,Maternal I,Integral,22
1019809,Berçário,Integral,17
1019829,Berçário,Integral,24
1019831,Maternal I,Integral,45
1026602,Maternal I,Integral,22
1026604,Berçário,Parcial,52
1026805,Maternal I,Integral,29
1026809,Berçário,Integral,57
1120606,Berçário,Integral,52
1120801,Maternal I,Integral,21
0101605,Maternal II ,Parcial,3
02016,Maternal II ,Integral,7
02035,Berçário,Integral,18
02044,Maternal II ,Integral,8
02046,Maternal I,Integral,9
0204804,Maternal II ,Integral,19
0205801,Maternal II ,Integral,4
0209602,Maternal II ,Integral,6
03021,Maternal II ,Integral,20
0313607,Maternal II ,Integral,11
0313809,Maternal II ,Integral,8
04002,Maternal I,Integral,2
04021,Maternal II ,Integral,20
04023,Maternal I,Integral,4
04036,Berçário,Integral,12
0410805,Maternal I,Integral,3
0515602,Maternal I,Integral,22
0515604,Maternal II ,Integral,3
0515808,Maternal II ,Integral,6
07043,Maternal I,Integral,8
0716601,Maternal II ,Integral,6
0716611,Maternal II ,Integral,15
0716803,Maternal II ,Integral,21
08004,Maternal II ,Integral,3
0833603,Maternal II ,Integral,4
0833809,Maternal II ,Integral,14
09019,Maternal II ,Integral,6
09026,Maternal I,Integral,9
09036,Maternal II ,Integral,5
10026,Maternal II ,Integral,9
1019628,Maternal I,Integral,14
1019803,Maternal II ,Integral,4
1120601,Maternal I,Integral,6
0107609,Maternal II ,Parcial,10
0209610,Maternal I,Integral,9
03041,Maternal II ,Integral,4
04002,Maternal II ,Integral,2
0430607,Maternal II ,Integral,2
0625603,Maternal I,Integral,12
07010,Maternal II ,Integral,7
0833808,Maternal I,Integral,4
0918611,Maternal II ,Integral,9
0918620,Maternal II ,Parcial,4
0918814,Maternal II ,Integral,1
1019627,Maternal II ,Integral,4
1026801,Maternal I,Integral,8
11003,Maternal II ,Integral,8
02054,Maternal I,Integral,2
08010,Maternal I,Integral,12
02043,Maternal I,Integral,1
02062,Maternal I,Integral,1
0206601,Maternal II ,Integral,1
0625609,Maternal II ,Integral,6
1019821,Maternal II ,Integral,5
0208607,Maternal II ,Integral,1
0515613,Maternal II ,Integral,4
10054,Maternal II ,Integral,1
02012,Maternal II ,Integral,1
05004,Maternal II ,Integral,1
1026811,Maternal I,Parcial,1
0103805,Maternal II ,Integral,1
0817801,Maternal I,Parcial,1
01006,Maternal I,Integral,25
01007,Maternal I,Integral,16
0101602,Maternal II ,Integral,9
0101606,Maternal I,Parcial,14
0101803,Maternal II ,Integral,25
0102802,Maternal II ,Integral,14
0103606,Maternal I,Integral,9
0107607,Berçário,Integral,55
0107801,Maternal II ,Parcial,42
0121001,Berçário,Integral,26
0123601,Berçário,Integral,55
0123601,Maternal II ,Integral,9
02005,Maternal II ,Integral,10
02009,Maternal I,Integral,53
02016,Berçário,Integral,33
02029,Berçário,Integral,44
02037,Berçário,Integral,45
02042,Maternal I,Integral,21
02044,Maternal I,Integral,30
02048,Maternal I,Integral,20
02053,Maternal I,Integral,5
0205601,Maternal I,Integral,15
0205602,Berçário,Integral,38
02058,Maternal I,Integral,40
0206606,Maternal I,Integral,10
0208601,Berçário,Integral,34
0227602,Maternal II ,Integral,10
0227801,Maternal II ,Integral,8
03001,Maternal I,Integral,21
03008,Maternal II ,Integral,9
03009,Maternal II ,Integral,13
03010,Maternal I,Integral,39
03012,Maternal I,Integral,129
03013,Maternal II ,Integral,7
03028,Maternal I,Integral,49
03028,Maternal II ,Integral,15
03033,Maternal I,Integral,24
03035,Maternal I,Integral,20
03035,Maternal II ,Integral,4
03037,Berçário,Integral,18
03039,Berçário,Integral,15
0312602,Maternal II ,Integral,24
0312803,Maternal II ,Integral,12
0312805,Maternal II ,Integral,20
0312813,Maternal II ,Integral,7
0313804,Maternal I,Integral,22
0328604,Berçário,Integral,42
0329801,Maternal I,Integral,26
04016,Berçário,Integral,61
04016,Maternal I,Integral,12
04018,Maternal II ,Integral,24
04022,Berçário,Integral,73
04027,Maternal I,Integral,51
04029,Maternal II ,Integral,6
04043,Maternal I,Integral,13
04043,Berçário,Integral,16
04047,Berçário,Integral,81
04047,Maternal I,Integral,43
04048,Maternal I,Integral,14
04049,Maternal II ,Integral,8
0410801,Maternal I,Integral,32
0410805,Berçário,Integral,27
0410808,Maternal I,Integral,8
0411602,Maternal II ,Integral,2
0411801,Maternal II ,Integral,13
0430802,Maternal II ,Integral,26
0430809,Maternal II ,Integral,25
0431603,Berçário,Integral,26
0431604,Berçário,Integral,34
05002,Maternal I,Integral,20
05014,Berçário,Integral,35
05015,Maternal I,Integral,88
0514602,Berçário,Integral,52
0514602,Maternal II ,Integral,8
0514604,Maternal I,Integral,26
0514608,Maternal II ,Integral,17
0515053,Maternal II ,Integral,22
0515501,Maternal II ,Integral,41
0515608,Berçário,Integral,26
0515608,Maternal I,Integral,7
0515610,Maternal II ,Integral,8
0515610,Maternal I,Integral,18
0515801,Maternal I,Integral,18
0515809,Berçário,Integral,49
06004,Berçário,Integral,10
06005,Maternal II ,Integral,24
06006,Maternal II ,Integral,20
06007,Maternal I,Integral,65
06009,Maternal II ,Integral,33
0625608,Maternal I,Integral,24
0625615,Maternal II ,Integral,1
0625804,Maternal II ,Integral,5
0625807,Maternal II ,Integral,41
0625813,Maternal II ,Integral,22
0625814,Berçário,Integral,27
0625814,Maternal I,Integral,29
0625817,Berçário,Integral,67
0625820,Berçário,Integral,78
07013,Maternal I,Integral,32
07014,Maternal I,Integral,31
07038,Maternal I,Integral,46
07042,Maternal II ,Integral,3
07043,Berçário,Integral,21
0716603,Berçário,Integral,25
0716604,Maternal II ,Parcial,53
0716604,Maternal I,Parcial,8
0716607,Maternal I,Integral,30
0716609,Berçário,Integral,50
0716804,Maternal II ,Integral,34
0716806,Maternal I,Integral,8
0716813,Maternal II ,Integral,15
0716820,Berçário,Integral,25
0724606,Berçário,Integral,59
0724606,Maternal II ,Integral,6
0724801,Maternal I,Integral,34
0724806,Maternal II ,Integral,13
0734603,Maternal I,Integral,16
0734803,Maternal I,Integral,24
08011,Berçário,Integral,65
08011,Maternal I,Integral,9
08014,Maternal I,Integral,42
08015,Berçário,Integral,64
08016,Berçário,Integral,46
08019,Maternal I,Integral,73
0817601,Maternal II ,Parcial,43
0817601,Berçário,Parcial,67
0817607,Berçário,Parcial,75
0817608,Maternal II ,Parcial,23
0817801,Berçário,Parcial,25
0817805,Maternal I,Integral,39
0817808,Maternal II ,Parcial,19
0833602,Berçário,Integral,21
0833808,Maternal II ,Parcial,11
0833810,Maternal I,Integral,6
0833811,Maternal II ,Integral,58
09004,Berçário,Integral,35
09011,Berçário,Integral,60
09012,Berçário,Integral,21
09014,Maternal I,Integral,42
09018,Berçário,Integral,40
09018,Maternal II ,Integral,6
09021,Maternal I,Integral,55
09030,Maternal I,Integral,13
09030,Berçário,Integral,35
09036,Maternal I,Integral,13
09037,Maternal II ,Integral,6
09044,Berçário,Integral,29
09046,Maternal II ,Integral,6
0918602,Maternal II ,Parcial,28
0918603,Maternal II ,Parcial,28
0918604,Maternal I,Integral,24
0918610,Maternal II ,Integral,9
0918620,Berçário,Integral,6
0918621,Berçário,Integral,46
0918801,Maternal I,Parcial,25
0918801,Berçário,Parcial,30
0918803,Berçário,Integral,29
0918805,Berçário,Integral,26
0918815,Maternal I,Integral,21
0918826,Berçário,Integral,42
0918832,Maternal II ,Integral,7
0918837,Maternal I,Integral,42
0918837,Maternal II ,Integral,10
10004,Berçário,Integral,13
10006,Maternal I,Integral,24
10013,Berçário,Integral,19
10022,Maternal I,Integral,108
10024,Maternal I,Integral,36
10028,Berçário,Integral,47
10032,Maternal II ,Integral,16
10034,Berçário,Integral,55
10034,Maternal I,Integral,9
10040,Berçário,Integral,61
10042,Maternal I,Integral,11
10046,Maternal I,Integral,9
10046,Berçário,Integral,48
10057,Maternal I,Integral,14
10058,Berçário,Integral,93
10063,Berçário,Integral,28
10064,Berçário,Integral,24
10068,Maternal I,Integral,17
10071,Berçário,Integral,86
10071,Maternal I,Integral,45
10071,Maternal II ,Integral,15
1019603,Maternal II ,Integral,5
1019604,Maternal II ,Integral,10
1019612,Berçário,Integral,64
1019623,Berçário,Integral,36
1019632,Maternal II ,Integral,4
1019803,Berçário,Integral,58
1019807,Maternal I,Integral,28
1019810,Maternal I,Integral,26
1019818,Maternal II ,Integral,17
1019820,Maternal I,Integral,25
1019828,Maternal I,Integral,32
1019828,Berçário,Integral,33
1026802,Maternal I,Integral,28
1026803,Maternal II ,Parcial,82
1026806,Maternal II ,Integral,29
1026807,Berçário,Integral,57
1026811,Maternal II ,Parcial,7
11003,Maternal I,Integral,36
11004,Berçário,Integral,45
11007,Berçário,Integral,31
11009,Maternal I,Integral,11
1120602,Maternal I,Integral,55
1120603,Maternal II ,Integral,26
1120804,Maternal I,Integral,22
0103605,Maternal I,Integral,2
0103804,Maternal I,Integral,4
0206605,Maternal II ,Integral,6
0206605,Maternal I,Integral,3
0209603,Maternal II ,Integral,1
03006,Maternal II ,Integral,10
03011,Maternal II ,Integral,5
03022,Maternal I,Integral,28
0313609,Maternal II ,Integral,7
0328801,Maternal I,Integral,4
04045,Maternal II ,Integral,1
0410802,Maternal I,Integral,1
0411605,Maternal I,Integral,8
0431605,Berçário,Integral,25
05013,Maternal II ,Integral,3
0514604,Maternal II ,Integral,2
0514607,Maternal II ,Integral,3
0514609,Maternal II ,Integral,1
0625616,Maternal II ,Integral,10
0625801,Maternal II ,Integral,22
0716613,Maternal II ,Integral,1
0716819,Maternal I,Integral,7
0817606,Maternal II ,Integral,4
0817801,Maternal II ,Parcial,1
09022,Maternal II ,Integral,7
09039,Maternal II ,Integral,3
09042,Maternal I,Integral,3
09044,Maternal I,Integral,8
09045,Maternal I,Integral,5
0918802,Maternal II ,Parcial,9
0918826,Maternal II ,Integral,9
10013,Maternal II ,Integral,3
10014,Maternal I,Integral,15
10019,Maternal II ,Integral,16
10051,Maternal II ,Integral,9
10072,Maternal II ,Integral,5
1019626,Maternal II ,Integral,7
1026602,Maternal II ,Integral,3
0102604,Maternal II ,Integral,6
0103804,Maternal II ,Integral,6
0107603,Maternal I,Integral,6
02062,Maternal II ,Integral,2
0312804,Maternal II ,Integral,8
04003,Maternal II ,Integral,1
04020,Maternal I,Integral,3
0411804,Maternal II ,Integral,3
0625601,Maternal II ,Parcial,1
0625602,Maternal II ,Integral,5
0625614,Maternal II ,Integral,3
0625820,Maternal I,Integral,9
0833801,Maternal II ,Integral,3
0918815,Maternal II ,Parcial,27
0918820,Maternal II ,Integral,10
0107604,Maternal II ,Integral,1
02038,Maternal II ,Integral,2
0430603,Maternal I,Integral,3
0430815,Maternal II ,Integral,2
0431604,Maternal I,Integral,3
0625608,Maternal II ,Integral,1
0625820,Maternal II ,Integral,3
0716813,Maternal I,Integral,2
1120802,Maternal I,Integral,4
02009,Maternal II ,Integral,1
0206602,Maternal I,Integral,8
0206603,Maternal I,Integral,3
0411601,Maternal II ,Integral,1
0411604,Maternal II ,Integral,5
0515611,Maternal II ,Integral,2
0918823,Maternal II ,Parcial,6
0918825,Maternal II ,Parcial,3
02022,Maternal II ,Integral,1
0918833,Maternal II ,Integral,1
0208801,Maternal II ,Integral,2
0328801,Maternal II ,Integral,1
0330601,Maternal II ,Integral,3
0918824,Maternal II ,Parcial,1
07013,Maternal II ,Integral,3
01009,Maternal I,Integral,47
01010,Berçário,Integral,108
0101601,Maternal II ,Parcial,16
0101606,Berçário,Parcial,56
0101607,Berçário,Integral,56
0101801,Maternal II ,Parcial,15
0102605,Berçário,Integral,56
0103605,Berçário,Integral,50
0103605,Maternal II ,Integral,6
0123601,Maternal I,Integral,10
0123603,Berçário,Integral,21
02003,Maternal I,Integral,35
02005,Maternal I,Integral,29
02015,Maternal II ,Integral,16
02025,Maternal I,Integral,10
02026,Maternal I,Integral,25
0204601,Maternal I,Integral,3
0204602,Berçário,Integral,49
02052,Berçário,Integral,49
02052,Maternal I,Integral,6
02053,Maternal II ,Integral,9
02055,Maternal I,Integral,40
0205801,Maternal I,Integral,5
02060,Maternal I,Integral,35
02063,Maternal I,Integral,15
0208603,Maternal I,Integral,23
0208605,Berçário,Integral,8
0208608,Maternal II ,Integral,12
0208801,Berçário,Integral,41
0208801,Maternal I,Integral,6
0209602,Maternal I,Integral,11
0209606,Berçário,Integral,15
0209610,Maternal II ,Integral,7
03001,Maternal II ,Integral,16
03002,Maternal I,Integral,46
03004,Maternal II ,Integral,8
03007,Berçário,Integral,20
03013,Maternal I,Integral,30
03014,Maternal II ,Integral,23
03018,Maternal I,Integral,22
03019,Berçário,Integral,26
03020,Maternal II ,Integral,18
03021,Berçário,Integral,69
03022,Berçário,Integral,34
03023,Maternal II ,Integral,10
03032,Maternal I,Integral,17
0312602,Berçário,Integral,30
0312603,Berçário,Integral,57
0312809,Berçário,Integral,31
0312812,Maternal I,Integral,9
0313601,Berçário,Integral,31
0313602,Maternal II ,Integral,4
0313607,Maternal I,Integral,16
0313608,Berçário,Integral,48
0313805,Maternal I,Integral,21
0329801,Berçário,Integral,26
04001,Berçário,Integral,58
04004,Maternal I,Integral,70
04012,Maternal II ,Integral,15
04013,Maternal II ,Integral,7
04015,Berçário,Integral,53
04018,Berçário,Integral,47
04025,Maternal I,Integral,21
04029,Berçário,Integral,56
04038,Maternal I,Integral,28
04044,Berçário,Integral,34
04049,Berçário,Integral,13
0410803,Maternal I,Integral,24
0410803,Maternal II ,Integral,19
0410804,Maternal II ,Integral,18
0411801,Maternal I,Integral,16
0430603,Berçário,Integral,30
0430801,Berçário,Integral,21
0430806,Maternal II ,Integral,26
0430810,Maternal II ,Integral,3
0430811,Berçário,Integral,28
0430812,Maternal I,Integral,26
0431605,Maternal I,Integral,23
05002,Maternal II ,Integral,11
0514009,Maternal II ,Parcial,44
0514606,Maternal I,Integral,27
0515602,Maternal II ,Integral,5
0515604,Maternal I,Integral,16
0515605,Berçário,Integral,46
0515605,Maternal II ,Integral,10
0515607,Maternal I,Integral,78
0515802,Maternal II ,Parcial,84
0515807,Maternal I,Integral,6
0515808,Berçário,Integral,26
0515809,Maternal I,Integral,9
06002,Maternal I,Integral,25
06012,Berçário,Integral,59
06016,Maternal II ,Integral,26
0625609,Maternal I,Integral,44
0625802,Maternal II ,Integral,24
0625804,Berçário,Integral,30
0625816,Berçário,Integral,28
0625818,Berçário,Integral,27
07011,Maternal I,Integral,79
07013,Berçário,Integral,41
07015,Maternal I,Integral,32
07019,Maternal I,Integral,95
07035,Maternal II ,Integral,75
0716601,Maternal I,Integral,88
0716606,Berçário,Integral,39
0716607,Berçário,Integral,34
0716608,Maternal I,Integral,45
0716610,Maternal I,Integral,13
0716610,Maternal II ,Integral,34
0716611,Maternal I,Integral,26
0716801,Maternal II ,Integral,31
0716801,Berçário,Integral,28
0716813,Berçário,Integral,26
0716814,Maternal II ,Parcial,53
0716815,Maternal I,Parcial,51
0716816,Maternal I,Integral,29
0716821,Maternal I,Integral,25
0724804,Maternal II ,Integral,40
0724808,Maternal I,Integral,39
0734602,Maternal II ,Integral,3
0734801,Maternal I,Integral,13
08002,Berçário,Integral,12
08005,Maternal I,Integral,15
08025,Maternal I,Integral,30
0817504,Maternal I,Integral,27
0817602,Maternal I,Integral,3
0817604,Maternal I,Integral,20
0817606,Maternal I,Integral,52
0817614,Maternal II ,Parcial,21
0817617,Berçário,Parcial,64
0817618,Maternal II ,Parcial,15
0817804,Berçário,Integral,17
0817805,Maternal II ,Integral,6
0817814,Berçário,Parcial,29
0833601,Maternal I,Integral,20
0833602,Maternal I,Integral,13
0833806,Maternal I,Parcial,61
0833810,Berçário,Integral,45
09003,Maternal I,Integral,15
09008,Berçário,Integral,15
09012,Maternal II ,Integral,5
09017,Berçário,Integral,23
09020,Berçário,Integral,32
09021,Berçário,Integral,114
09023,Maternal I,Integral,15
09025,Maternal II ,Integral,3
09026,Berçário,Integral,39
09027,Maternal I,Integral,4
09033,Maternal II ,Integral,8
09038,Maternal II ,Integral,21
09039,Maternal I,Integral,7
0918601,Berçário,Integral,69
0918601,Maternal II ,Integral,7
0918606,Maternal II ,Integral,24
0918609,Maternal II ,Integral,31
0918613,Berçário,Integral,25
0918617,Maternal II ,Parcial,8
0918815,Berçário,Integral,55
0918821,Maternal II ,Integral,8
0918821,Maternal I,Integral,17
0918822,Maternal I,Parcial,5
0918828,Berçário,Integral,38
0918829,Maternal II ,Integral,14
0918832,Berçário,Integral,49
0918834,Maternal II ,Integral,16
10009,Berçário,Integral,28
10009,Maternal I,Integral,11
10011,Berçário,Integral,11
10020,Maternal II ,Integral,15
10023,Maternal I,Integral,13
10024,Berçário,Integral,27
10027,Maternal II ,Integral,12
10030,Maternal I,Integral,14
10030,Maternal II ,Integral,12
10041,Maternal II ,Integral,15
10045,Maternal II ,Integral,3
10052,Maternal I,Integral,10
10053,Maternal II ,Integral,6
10055,Maternal II ,Integral,44
10060,Maternal I,Integral,13
10062,Berçário,Integral,23
10066,Maternal I,Integral,26
10069,Berçário,Integral,40
10072,Maternal I,Integral,6
10073,Maternal I,Integral,36
10074,Maternal II ,Integral,8
10075,Maternal II ,Integral,7
10075,Berçário,Integral,25
10076,Berçário,Integral,20
10081,Maternal II ,Integral,4
10081,Berçário,Integral,28
10084,Maternal I,Integral,14
10085,Maternal I,Integral,18
1019609,Berçário,Integral,24
1019611,Maternal I,Integral,20
1019615,Maternal I,Integral,17
1019618,Maternal II ,Integral,26
1019621,Maternal II ,Integral,2
1019631,Berçário,Integral,29
1019802,Maternal II ,Integral,19
1019803,Maternal I,Integral,8
1019804,Maternal I,Integral,23
1019804,Maternal II ,Integral,7
1019806,Maternal II ,Integral,14
1019811,Maternal II ,Integral,42
1019827,Maternal II ,Integral,24
1019830,Maternal II ,Integral,25
1019831,Berçário,Integral,41
11003,Berçário,Integral,47
11004,Maternal I,Integral,42
1120602,Maternal II ,Integral,18
1120606,Maternal I,Integral,33
02025,Maternal II ,Integral,10
03018,Maternal II ,Integral,3
0312801,Maternal I,Integral,25
0410807,Maternal I,Integral,7
0431608,Maternal II ,Integral,6
0625803,Maternal II ,Integral,4
07041,Berçário,Integral,24
0716603,Maternal I,Integral,2
0716609,Maternal II ,Integral,3
0734803,Maternal II ,Integral,2
08023,Maternal II ,Integral,4
0817807,Maternal I,Parcial,4
09034,Maternal II ,Integral,4
09045,Berçário,Integral,8
0918607,Maternal II ,Integral,6
0918615,Maternal II ,Parcial,15
0918620,Maternal I,Integral,5
0918816,Maternal II ,Integral,10
0918830,Maternal II ,Parcial,3
0918831,Maternal II ,Integral,17
10032,Maternal I,Integral,21
10077,Berçário,Integral,11
1019625,Maternal I,Integral,18
0208803,Maternal II ,Integral,6
0209604,Maternal I,Integral,2
04028,Maternal II ,Integral,8
04035,Maternal II ,Integral,3
0430807,Maternal II ,Integral,2
08007,Maternal II ,Integral,7
0817619,Maternal II ,Parcial,4
09026,Maternal II ,Integral,4
09028,Maternal II ,Integral,5
10009,Maternal II ,Integral,3
10034,Maternal II ,Integral,3
10082,Maternal I,Integral,5
1026805,Maternal II ,Integral,7
0103802,Maternal II ,Parcial,5
0107602,Maternal I,Integral,1
02037,Maternal I,Integral,3
02042,Maternal II ,Integral,1
02046,Maternal II ,Integral,2
03015,Maternal II ,Integral,1
04003,Maternal I,Integral,5
04043,Maternal II ,Integral,4
0515608,Maternal II ,Integral,2
09007,Maternal II ,Integral,1
1019631,Maternal II ,Integral,2
04016,Maternal II ,Integral,2
0515809,Maternal II ,Integral,5
09008,Maternal II ,Integral,1
1019609,Maternal II ,Integral,3
0209608,Maternal II ,Integral,2
02024,Maternal I,Integral,1
0918804,Maternal II ,Integral,2
10061,Maternal I,Integral,1
01007,Maternal II ,Integral,4
0101604,Maternal II ,Parcial,10
0101605,Berçário,Integral,48
0101607,Maternal I,Integral,18
0101801,Berçário,Parcial,74
0102601,Berçário,Integral,47
0102604,Berçário,Integral,29
0102606,Berçário,Integral,47
0103601,Maternal I,Integral,16
0103604,Berçário,Integral,24
0103606,Berçário,Integral,26
0103607,Maternal II ,Parcial,20
0103802,Berçário,Parcial,27
0103804,Berçário,Integral,24
0107602,Berçário,Integral,46
0107606,Maternal I,Parcial,78
02001,Maternal II ,Integral,5
02003,Maternal II ,Integral,29
02014,Berçário,Integral,20
02015,Maternal I,Integral,19
02018,Maternal I,Integral,48
02019,Berçário,Integral,14
02031,Maternal II ,Integral,19
02036,Berçário,Integral,6
02038,Maternal I,Integral,1
02039,Berçário,Integral,25
02040,Berçário,Integral,34
02041,Maternal II ,Integral,4
0204602,Maternal I,Integral,23
02047,Maternal II ,Integral,5
02047,Maternal I,Integral,13
0204806,Berçário,Integral,26
0205602,Maternal I,Integral,18
02060,Berçário,Integral,36
0208604,Maternal I,Integral,5
0208607,Berçário,Integral,20
0209601,Berçário,Integral,55
0209601,Maternal I,Integral,10
0209609,Maternal I,Integral,12
0209803,Maternal I,Integral,12
0227801,Berçário,Integral,48
03013,Berçário,Integral,55
03015,Berçário,Integral,19
03025,Berçário,Integral,47
03025,Maternal II ,Integral,13
03027,Maternal II ,Integral,8
03031,Maternal I,Integral,34
03033,Maternal II ,Integral,7
03034,Maternal II ,Integral,17
03037,Maternal I,Integral,65
03040,Maternal II ,Integral,2
03041,Maternal I,Integral,27
0312803,Maternal I,Integral,22
0313604,Berçário,Integral,24
0313612,Maternal II ,Integral,7
0313802,Berçário,Integral,22
0313806,Maternal II ,Integral,21
0328601,Maternal II ,Integral,14
04011,Berçário,Integral,31
04014,Maternal I,Integral,66
04015,Maternal I,Integral,7
04017,Berçário,Integral,45
04018,Maternal I,Integral,23
04021,Berçário,Integral,45
04027,Maternal II ,Integral,9
04032,Berçário,Integral,35
04039,Berçário,Integral,25
04042,Maternal II ,Integral,22
04042,Berçário,Integral,39
04048,Maternal II ,Integral,4
0410805,Maternal II ,Integral,4
0411609,Maternal II ,Integral,25
0411802,Maternal I,Integral,6
0430601,Maternal II ,Integral,27
0430812,Maternal II ,Integral,26
0430813,Maternal II ,Integral,20
0431607,Maternal I,Integral,20
05006,Maternal I,Integral,49
05008,Maternal I,Integral,14
05016,Maternal I,Integral,28
05016,Berçário,Integral,57
0514501,Maternal II ,Integral,21
0514602,Maternal I,Integral,20
0514603,Maternal I,Integral,17
0514606,Berçário,Integral,46
0514607,Berçário,Integral,23
0514609,Maternal I,Integral,32
0515046,Maternal II ,Integral,46
0515601,Maternal II ,Integral,16
0515607,Maternal II ,Integral,7
0515804,Maternal II ,Integral,43
0622602,Maternal I,Integral,30
0622802,Maternal II ,Integral,25
0622804,Maternal I,Integral,5
0622804,Berçário,Integral,63
0622805,Berçário,Integral,25
0622805,Maternal I,Integral,17
0625602,Berçário,Integral,28
0625603,Maternal II ,Integral,14
0625606,Maternal II ,Integral,4
0625607,Maternal II ,Integral,17
0625802,Berçário,Integral,29
0625814,Maternal II ,Integral,10
0625819,Berçário,Integral,62
07020,Berçário,Integral,11
07027,Berçário,Integral,32
07041,Maternal I,Integral,14
07042,Maternal I,Integral,37
07044,Berçário,Integral,63
07045,Maternal I,Integral,43
0716605,Maternal I,Integral,47
0716608,Maternal II ,Integral,28
0716614,Maternal II ,Integral,6
0716804,Maternal I,Integral,25
0716808,Berçário,Integral,30
0716812,Maternal I,Integral,22
0716815,Maternal II ,Parcial,26
0716821,Berçário,Integral,25
0724601,Maternal I,Integral,8
0724602,Berçário,Integral,80
0724604,Maternal II ,Integral,15
0724604,Maternal I,Integral,19
0724806,Maternal I,Integral,29
0724809,Maternal I,Integral,14
0734601,Maternal I,Integral,44
0734602,Maternal I,Integral,42
08018,Maternal II ,Integral,24
08023,Maternal I,Integral,36
08024,Maternal II ,Integral,16
08025,Maternal II ,Integral,4
08027,Maternal I,Integral,10
0817609,Berçário,Parcial,126
0817617,Maternal II ,Parcial,6
0817804,Maternal II ,Integral,17
0817809,Maternal II ,Parcial,36
0817814,Maternal I,Parcial,26
0833505,Maternal II ,Integral,21
0833601,Berçário,Integral,37
0833601,Maternal II ,Integral,5
0833801,Berçário,Integral,28
0833803,Maternal II ,Integral,41
0833805,Maternal II ,Integral,6
0833807,Berçário,Integral,26
09002,Maternal I,Integral,17
09009,Berçário,Integral,17
09017,Maternal II ,Integral,31
09020,Maternal I,Integral,1
09022,Maternal I,Integral,11
09028,Berçário,Integral,13
09029,Berçário,Integral,25
09029,Maternal II ,Integral,3
09035,Berçário,Integral,18
09038,Berçário,Integral,37
09039,Berçário,Integral,9
09041,Berçário,Integral,11
09042,Berçário,Integral,8
09043,Maternal I,Integral,25
