unidade,g,h,capacidade
1019801,Maternal II ,Integral,32
1019801,Berçário,Integral,24
1019824,Maternal II ,Integral,18
1019826,Maternal II ,Integral,15
1019831,Maternal II ,Integral,33
1026601,Maternal I,Parcial,10
1026806,Maternal I,Integral,30
1026809,Maternal II ,Integral,12
1026810,Berçário,Integral,35
11008,Maternal II ,Integral,34
1120602,Berçário,Integral,18
1120606,Maternal II ,Integral,8
1120801,Berçário,Integral,26
0102605,Maternal II ,Integral,3
02014,Maternal I,Integral,6
02035,Maternal I,Integral,6
02043,Maternal II ,Integral,5
0204806,Maternal I,Integral,7
0208601,Maternal II ,Integral,3
03029,Maternal I,Integral,14
0312809,Maternal II ,Integral,4
0312810,Maternal II ,Integral,1
0313601,Maternal I,Integral,2
0313604,Maternal II ,Integral,4
0313805,Maternal II ,Integral,4
0328602,Maternal II ,Integral,5
04005,Maternal II ,Integral,15
0430605,Maternal I,Integral,23
0430801,Maternal I,Integral,3
0514605,Maternal II ,Integral,6
0515808,Maternal I,Integral,8
06001,Maternal II ,Integral,6
06006,Maternal I,Integral,21
0625803,Maternal I,Integral,1
07007,Maternal II ,Integral,5
0716614,Maternal I,Integral,4
0716818,Maternal II ,Integral,4
0716820,Maternal II ,Integral,9
08009,Maternal II ,Integral,1
0817615,Maternal II ,Integral,7
0817801,Maternal II ,Integral,5
0918619,Maternal II ,Integral,11
0918811,Maternal I,Parcial,5
0918813,Maternal II ,Integral,13
0918820,Maternal I,Integral,12
0918823,Maternal II ,Integral,5
0918826,Maternal II ,Parcial,4
10001,Maternal II ,Integral,11
10068,Maternal II ,Integral,16
1019809,Maternal II ,Integral,6
1026807,Maternal I,Integral,6
01005,Maternal I,Integral,11
0107605,Maternal I,Integral,2
02052,Maternal II ,Integral,4
0208603,Maternal II ,Integral,3
04049,Maternal I,Integral,6
0431603,Maternal II ,Integral,2
0625611,Maternal II ,Integral,7
0625615,Maternal I,Integral,8
07020,Maternal II ,Integral,2
07034,Maternal II ,Integral,6
0716606,Maternal I,Integral,5
0716820,Maternal I,Integral,4
0734801,Maternal II ,Integral,1
09031,Maternal II ,Integral,7
0918621,Maternal I,Integral,2
0918810,Maternal II ,Parcial,9
0918833,Maternal II ,Parcial,3
10044,Maternal I,Integral,6
11009,Maternal II ,Integral,3
04041,Maternal II ,Integral,2
0411602,Maternal I,Integral,2
08005,Maternal II ,Integral,4
0918616,Maternal II ,Integral,4
10056,Maternal II ,Integral,6
10077,Maternal II ,Integral,3
01009,Maternal II ,Integral,3
03007,Maternal II ,Integral,1
09007,Maternal I,Integral,3
0312806,Maternal II ,Integral,1
0313802,Maternal I,Integral,2
09011,Maternal II ,Integral,5
0716607,Maternal II ,Integral,1
0716816,Maternal II ,Integral,1
0625601,Maternal II ,Integral,1
01004,Maternal II ,Integral,3
0101607,Maternal II ,Integral,3
0101801,Maternal I,Parcial,17
0102602,Maternal II ,Integral,17
0103602,Maternal II ,Integral,4
0103602,Berçário,Integral,25
0103607,Berçário,Parcial,38
0107603,Maternal II ,Integral,7
0107604,Berçário,Integral,41
0107609,Berçário,Parcial,53
0121001,Maternal I,Integral,9
02003,Berçário,Integral,32
02004,Maternal I,Integral,43
02006,Berçário,Integral,26
02010,Berçário,Integral,45
02013,Maternal I,Integral,27
02020,Maternal I,Integral,8
02032,Maternal II ,Integral,10
02037,Maternal II ,Integral,3
02043,Berçário,Integral,45
02057,Maternal I,Integral,27
02060,Maternal II ,Integral,20
0208606,Berçário,Integral,15
0209604,Berçário,Integral,17
0209605,Maternal II ,Integral,1
0209607,Berçário,Integral,19
0209803,Maternal II ,Integral,10
03002,Berçário,Integral,135
03007,Maternal I,Integral,10
03011,Maternal I,Integral,23
03012,Maternal II ,Integral,17
03014,Maternal I,Integral,52
03019,Maternal I,Integral,5
03020,Maternal I,Integral,48
03024,Berçário,Integral,40
03026,Maternal II ,Integral,16
0312502,Berçário,Integral,49
0312802,Maternal I,Integral,23
0312809,Maternal I,Integral,27
0312812,Berçário,Integral,43
0313603,Maternal II ,Integral,1
0313611,Maternal II ,Integral,3
0313612,Berçário,Integral,40
0313801,Maternal II ,Integral,17
0313801,Berçário,Integral,22
0328601,Maternal I,Integral,32
04005,Maternal I,Integral,36
04006,Berçário,Integral,7
04007,Maternal I,Integral,23
04012,Maternal I,Integral,28
04022,Maternal I,Integral,46
04024,Maternal I,Integral,55
04024,Maternal II ,Integral,21
04027,Berçário,Integral,43
04028,Maternal I,Integral,3
04030,Maternal I,Integral,61
04032,Maternal II ,Integral,7
04034,Maternal I,Integral,4
04037,Maternal II ,Integral,30
04039,Maternal I,Integral,18
04040,Berçário,Integral,26
04040,Maternal II ,Integral,41
04045,Berçário,Integral,37
04048,Berçário,Integral,13
0410807,Berçário,Integral,30
0410807,Maternal II ,Integral,5
0411601,Berçário,Integral,23
0411603,Berçário,Integral,48
0411802,Berçário,Integral,23
0430602,Berçário,Integral,28
0430803,Maternal II ,Integral,6
0430807,Maternal I,Integral,7
0430811,Maternal II ,Integral,29
0431602,Berçário,Integral,52
0431607,Maternal II ,Integral,5
0431803,Maternal II ,Parcial,21
05008,Berçário,Integral,62
05012,Maternal I,Integral,87
05012,Berçário,Integral,58
0514801,Maternal II ,Integral,27
0514802,Maternal I,Parcial,15
0515601,Maternal I,Integral,14
0515612,Berçário,Integral,28
0515613,Maternal I,Integral,14
0515801,Berçário,Integral,26
06001,Maternal I,Integral,55
06003,Maternal I,Integral,35
06003,Berçário,Integral,21
06013,Berçário,Integral,27
06017,Maternal II ,Integral,6
0622202,Maternal II ,Integral,36
0622601,Berçário,Integral,32
0622603,Berçário,Integral,31
0625602,Maternal I,Integral,34
0625604,Maternal I,Integral,44
0625604,Berçário,Integral,62
0625605,Maternal I,Integral,25
0625606,Maternal I,Integral,13
0625610,Maternal II ,Integral,2
0625612,Berçário,Integral,41
0625801,Berçário,Integral,30
0625803,Berçário,Integral,57
0625817,Maternal II ,Integral,14
0625817,Maternal I,Integral,13
0625818,Maternal II ,Integral,18
0625819,Maternal II ,Integral,26
07002,Maternal I,Integral,25
07003,Maternal II ,Integral,33
07007,Maternal I,Integral,63
07008,Maternal I,Integral,18
07011,Maternal II ,Integral,11
07018,Maternal II ,Integral,27
07037,Maternal II ,Integral,14
07038,Berçário,Integral,31
07044,Maternal I,Integral,17
0716602,Maternal I,Parcial,35
0716608,Berçário,Integral,37
0716609,Maternal I,Integral,14
0716613,Maternal I,Integral,2
0716613,Berçário,Integral,22
0716819,Berçário,Integral,70
0716822,Maternal I,Integral,16
0716822,Maternal II ,Integral,2
0724603,Maternal I,Parcial,14
0724801,Berçário,Integral,52
0724804,Maternal I,Integral,43
0724805,Maternal II ,Integral,21
08013,Maternal I,Integral,47
08019,Maternal II ,Integral,21
0817202,Maternal I,Integral,53
0817607,Maternal II ,Parcial,58
0817612,Berçário,Parcial,61
0817806,Maternal I,Parcial,11
0817807,Berçário,Parcial,54
0833802,Berçário,Parcial,34
0833805,Maternal I,Integral,31
0833808,Berçário,Parcial,28
0833809,Berçário,Integral,27
09009,Maternal I,Integral,27
09011,Maternal I,Integral,19
09012,Maternal I,Integral,54
09013,Maternal II ,Integral,14
09018,Maternal I,Integral,24
09021,Maternal II ,Integral,18
09023,Berçário,Integral,17
09023,Maternal II ,Integral,4
09024,Berçário,Integral,27
09025,Maternal I,Integral,3
09029,Maternal I,Integral,15
09031,Maternal I,Integral,11
09034,Berçário,Integral,30
09035,Maternal I,Integral,25
09041,Maternal I,Integral,12
0918601,Maternal I,Integral,9
0918602,Maternal I,Parcial,48
0918607,Berçário,Integral,34
0918613,Maternal II ,Integral,27
0918614,Berçário,Parcial,57
0918616,Berçário,Integral,32
0918618,Maternal II ,Parcial,22
0918808,Berçário,Integral,28
0918818,Maternal II ,Parcial,25
0918823,Maternal I,Integral,27
0918825,Maternal I,Integral,24
0918827,Berçário,Integral,47
0918833,Berçário,Integral,46
10005,Maternal II ,Integral,4
10010,Maternal I,Integral,48
10019,Berçário,Integral,60
10027,Maternal I,Integral,16
10035,Berçário,Integral,29
10044,Berçário,Integral,30
10055,Maternal I,Integral,30
10056,Berçário,Integral,26
10058,Maternal I,Integral,30
10059,Berçário,Integral,21
10063,Maternal II ,Integral,7
10067,Berçário,Integral,38
10076,Maternal I,Integral,21
10078,Berçário,Integral,12
10080,Maternal I,Integral,17
10084,Berçário,Integral,17
1019601,Maternal I,Integral,21
1019610,Maternal I,Integral,21
1019613,Maternal I,Parcial,42
1019614,Maternal I,Integral,25
1019616,Maternal II ,Integral,9
1019619,Maternal II ,Integral,10
1019624,Maternal II ,Integral,18
1019631,Maternal I,Integral,18
1019632,Berçário,Integral,54
1019810,Maternal II ,Integral,6
1019820,Maternal II ,Integral,16
1019826,Maternal I,Integral,8
1026601,Berçário,Parcial,37
11001,Maternal II ,Integral,5
11004,Maternal II ,Integral,12
11006,Maternal II ,Integral,31
11006,Berçário,Integral,83
11008,Maternal I,Integral,7
1120201,Maternal II ,Integral,28
1120605,Maternal II ,Integral,33
1120605,Berçário,Integral,29
1120804,Berçário,Integral,25
0101606,Maternal II ,Parcial,5
0103601,Maternal II ,Integral,3
0204601,Berçário,Integral,15
02055,Maternal II ,Integral,6
02056,Maternal II ,Integral,13
0209607,Maternal I,Integral,3
0209608,Maternal I,Integral,5
0313606,Maternal II ,Integral,2
0430602,Maternal I,Integral,5
05016,Maternal II ,Integral,13
0514608,Berçário,Integral,27
06017,Maternal I,Integral,8
0625612,Maternal II ,Integral,3
07027,Maternal I,Integral,13
0724601,Maternal II ,Integral,6
08021,Maternal II ,Integral,10
09004,Maternal II ,Integral,9
09019,Maternal I,Integral,14
09034,Maternal I,Integral,4
0918604,Maternal II ,Integral,8
0918614,Maternal I,Parcial,14
0918827,Maternal I,Integral,10
10023,Maternal II ,Integral,7
10037,Maternal I,Integral,14
10082,Maternal II ,Integral,2
1019822,Maternal I,Integral,11
0107610,Maternal II ,Integral,6
03024,Maternal II ,Integral,9
03031,Maternal II ,Integral,2
0312806,Maternal I,Integral,7
04026,Maternal II ,Integral,5
0411605,Maternal II ,Integral,2
0430603,Maternal II ,Integral,1
0514606,Maternal II ,Integral,6
0918828,Maternal II ,Integral,2
10069,Maternal I,Integral,4
1019601,Maternal II ,Integral,2
01006,Maternal II ,Integral,4
0101603,Maternal I,Integral,1
02012,Maternal I,Integral,1
0107605,Maternal II ,Integral,1
02036,Maternal II ,Integral,2
07001,Maternal II ,Integral,2
0918828,Maternal I,Parcial,1
10047,Maternal II ,Integral,3
0411607,Maternal II ,Integral,2
0515801,Maternal II ,Integral,1
0206601,Maternal I,Integral,2
0313802,Maternal II ,Integral,1
01004,Maternal I,Integral,25
01010,Maternal II ,Integral,20
0102602,Berçário,Integral,65
0102602,Maternal I,Integral,60
0103607,Maternal I,Parcial,16
0107601,Maternal II ,Integral,8
0107608,Maternal I,Integral,25
0107610,Berçário,Integral,57
0107610,Maternal I,Integral,8
0107802,Maternal II ,Integral,12
02004,Berçário,Integral,31
02006,Maternal I,Integral,3
02016,Maternal I,Integral,10
02022,Maternal I,Integral,24
02025,Berçário,Integral,12
02029,Maternal I,Integral,40
02034,Maternal I,Integral,29
02038,Berçário,Integral,14
02040,Maternal II ,Integral,10
02041,Maternal I,Integral,13
02045,Maternal I,Integral,22
0204602,Maternal II ,Integral,5
0204805,Maternal II ,Integral,3
0204806,Maternal II ,Integral,9
02056,Maternal I,Integral,46
02058,Maternal II ,Integral,10
0205801,Berçário,Integral,19
02061,Maternal II ,Integral,13
0206605,Berçário,Integral,32
0208603,Berçário,Integral,28
0209603,Berçário,Integral,16
0209609,Berçário,Integral,41
0227801,Maternal I,Integral,26
03001,Berçário,Integral,13
03009,Maternal I,Integral,32
03014,Berçário,Integral,43
03016,Berçário,Integral,33
03016,Maternal II ,Integral,7
03021,Maternal I,Integral,22
03027,Maternal I,Integral,9
03033,Berçário,Integral,80
0312502,Maternal I,Integral,16
0312810,Maternal I,Integral,20
0313603,Maternal I,Integral,5
0313608,Maternal I,Integral,16
0313611,Berçário,Integral,45
0328602,Berçário,Integral,24
0328604,Maternal II ,Integral,8
0330602,Berçário,Integral,41
04004,Maternal II ,Integral,22
04010,Maternal II ,Integral,4
04011,Maternal I,Integral,18
04012,Berçário,Integral,24
04020,Berçário,Integral,30
04022,Maternal II ,Integral,11
04023,Berçário,Integral,56
04024,Berçário,Integral,54
04035,Berçário,Integral,21
04044,Maternal I,Integral,8
0410801,Berçário,Integral,31
0410802,Maternal II ,Integral,3
0410810,Maternal II ,Integral,33
0411605,Berçário,Integral,31
0430805,Berçário,Integral,25
0430805,Maternal I,Integral,6
0430810,Berçário,Integral,24
0430811,Maternal I,Integral,28
0431601,Maternal II ,Integral,16
0431602,Maternal I,Integral,24
0431603,Maternal I,Integral,21
0431605,Maternal II ,Integral,3
0431606,Maternal I,Integral,58
05001,Maternal II ,Integral,8
05005,Maternal I,Integral,48
05006,Maternal II ,Integral,6
05013,Maternal I,Integral,22
0514601,Maternal I,Integral,25
0514607,Maternal I,Integral,5
0514609,Berçário,Integral,26
0515064,Maternal II ,Integral,20
0515503,Maternal II ,Integral,29
0515613,Berçário,Integral,48
0515807,Berçário,Integral,29
0515807,Maternal II ,Integral,7
06004,Maternal I,Integral,27
06015,Berçário,Integral,69
06016,Berçário,Integral,60
0622202,Maternal I,Integral,102
0622602,Maternal II ,Integral,13
0622801,Maternal I,Integral,31
0622805,Maternal II ,Integral,21
0625615,Berçário,Parcial,33
0625815,Berçário,Integral,28
0625816,Maternal I,Parcial,7
0625819,Maternal I,Integral,24
07001,Berçário,Integral,58
07001,Maternal I,Integral,10
07010,Maternal I,Integral,41
07015,Berçário,Integral,75
07017,Maternal II ,Integral,15
07020,Maternal I,Integral,6
07025,Maternal II ,Integral,9
07036,Berçário,Integral,51
07037,Berçário,Integral,125
0716605,Maternal II ,Integral,9
0716612,Maternal I,Integral,61
0716614,Berçário,Integral,31
0716802,Maternal I,Integral,53
0716808,Maternal I,Integral,29
0716809,Maternal I,Integral,11
0716812,Maternal II ,Integral,25
0716824,Maternal I,Integral,19
0724605,Berçário,Integral,45
0724606,Maternal I,Integral,26
0724803,Maternal I,Integral,48
0724807,Maternal II ,Integral,52
08004,Berçário,Integral,36
08004,Maternal I,Integral,6
08005,Berçário,Integral,57
08006,Maternal I,Integral,22
08007,Berçário,Integral,86
08024,Maternal I,Integral,11
0817505,Maternal II ,Parcial,77
0817609,Maternal I,Parcial,27
0817610,Maternal I,Parcial,44
0817613,Maternal II ,Integral,7
0817614,Berçário,Parcial,23
0817615,Maternal I,Integral,2
0817616,Maternal I,Parcial,23
0817617,Maternal I,Parcial,19
0817618,Maternal I,Parcial,85
0817619,Berçário,Parcial,33
0817803,Maternal II ,Parcial,7
0817808,Berçário,Parcial,23
0817810,Maternal II ,Parcial,26
0817815,Maternal II ,Parcial,44
0833601,Maternal I,Parcial,6
0833807,Maternal I,Integral,19
09004,Maternal I,Integral,34
09013,Maternal I,Integral,27
