unidade,g,h,ociosas
0430807,Maternal II,Integral,3
0430809,Maternal II,Integral,3
0430810,Maternal II,Integral,2
0430811,Maternal II,Integral,8
0430812,Maternal II,Integral,3
0430813,Maternal II,Integral,10
0430815,Maternal II,Integral,2
0431601,Maternal II,Integral,4
0431602,Maternal II,Integral,11
0431603,Maternal II,Integral,12
0431604,Maternal II,Integral,17
0431605,Maternal II,Integral,3
0431606,Maternal II,Integral,20
0431607,Maternal II,Integral,6
0431608,Maternal II,Integral,22
0431801,Maternal II,Integral,2
0431802,Maternal II,Integral,4
0514501,Maternal II,Integral,1
0514601,Maternal II,Integral,6
0514602,Maternal II,Integral,4
0514603,Maternal II,Integral,17
0514604,Maternal II,Integral,2
0514605,Maternal II,Integral,7
0514606,Maternal II,Integral,8
0514607,Maternal II,Integral,23
0514608,Maternal II,Integral,13
0514609,Maternal II,Integral,0
0514801,Maternal II,Integral,18
0515015,Maternal II,Integral,2
0515046,Maternal II,Integral,5
0515053,Maternal II,Integral,2
0515064,Maternal II,Integral,2
0515501,Maternal II,Integral,15
0515503,Maternal II,Integral,0
0515601,Maternal II,Integral,20
0515602,Maternal II,Integral,1
0515604,Maternal II,Integral,4
0515605,Maternal II,Integral,4
0515606,Maternal II,Integral,7
0515607,Maternal II,Integral,4
0515608,Maternal II,Integral,2
0515610,Maternal II,Integral,3
0515611,Maternal II,Integral,0
0515612,Maternal II,Integral,20
0515613,Maternal II,Integral,2
0515801,Maternal II,Integral,1
0515803,Maternal II,Integral,0
0515804,Maternal II,Integral,4
0515805,Maternal II,Integral,19
0515807,Maternal II,Integral,14
0515808,Maternal II,Integral,0
0515809,Maternal II,Integral,8
0515810,Maternal II,Integral,16
0622202,Maternal II,Integral,17
0622601,Maternal II,Integral,7
0622602,Maternal II,Integral,31
0622603,Maternal II,Integral,2
0622801,Maternal II,Integral,0
0622802,Maternal II,Integral,0
0622804,Maternal II,Integral,4
0622805,Maternal II,Integral,6
0625601,Maternal II,Integral,2
0625602,Maternal II,Integral,0
0625603,Maternal II,Integral,16
0625604,Maternal II,Integral,4
0625605,Maternal II,Integral,9
0625606,Maternal II,Integral,3
0625607,Maternal II,Integral,12
0625608,Maternal II,Integral,4
0625609,Maternal II,Integral,4
0625610,Maternal II,Integral,2
0625611,Maternal II,Integral,1
0625612,Maternal II,Integral,3
0625614,Maternal II,Integral,0
0625615,Maternal II,Integral,2
0625616,Maternal II,Integral,0
0625801,Maternal II,Integral,6
0625802,Maternal II,Integral,7
0625803,Maternal II,Integral,2
0625804,Maternal II,Integral,2
0625807,Maternal II,Integral,4
0625813,Maternal II,Integral,4
0625814,Maternal II,Integral,27
0625815,Maternal II,Integral,3
0625816,Maternal II,Integral,2
0625817,Maternal II,Integral,2
0625818,Maternal II,Integral,2
0625819,Maternal II,Integral,0
0625820,Maternal II,Integral,9
0716601,Maternal II,Integral,3
0716603,Maternal II,Integral,2
0716605,Maternal II,Integral,0
0716606,Maternal II,Integral,2
0716607,Maternal II,Integral,4
0716608,Maternal II,Integral,8
0716609,Maternal II,Integral,4
0716610,Maternal II,Integral,5
0716611,Maternal II,Integral,14
0716612,Maternal II,Integral,4
0716613,Maternal II,Integral,0
0716614,Maternal II,Integral,0
0716801,Maternal II,Integral,4
0716802,Maternal II,Integral,16
0716803,Maternal II,Integral,4
0716804,Maternal II,Integral,13
0716805,Maternal II,Integral,5
0716806,Maternal II,Integral,1
0716807,Maternal II,Integral,19
0716808,Maternal II,Integral,6
0716809,Maternal II,Integral,9
0716812,Maternal II,Integral,3
0716813,Maternal II,Integral,2
0716816,Maternal II,Integral,2
0716818,Maternal II,Integral,3
0716819,Maternal II,Integral,4
0716820,Maternal II,Integral,2
0716821,Maternal II,Integral,4
0716822,Maternal II,Integral,4
0716824,Maternal II,Integral,2
0724601,Maternal II,Integral,6
0724604,Maternal II,Integral,8
0724605,Maternal II,Integral,2
0724606,Maternal II,Integral,2
0724801,Maternal II,Integral,15
0724802,Maternal II,Integral,18
0724803,Maternal II,Integral,8
0724804,Maternal II,Integral,15
0724805,Maternal II,Integral,5
0724806,Maternal II,Integral,4
0724807,Maternal II,Integral,29
0724808,Maternal II,Integral,14
0724809,Maternal II,Integral,10
0734601,Maternal II,Integral,1
0734602,Maternal II,Integral,6
0734603,Maternal II,Integral,5
0734801,Maternal II,Integral,9
0734802,Maternal II,Integral,0
0734803,Maternal II,Integral,2
0734804,Maternal II,Integral,3
0734805,Maternal II,Integral,1
0817202,Maternal II,Integral,2
0817504,Maternal II,Integral,5
0817602,Maternal II,Integral,4
0817603,Maternal II,Integral,4
0817604,Maternal II,Integral,38
0817605,Maternal II,Integral,2
0817606,Maternal II,Integral,6
0817611,Maternal II,Integral,12
0817613,Maternal II,Integral,4
0817615,Maternal II,Integral,11
0817801,Maternal II,Integral,4
0817804,Maternal II,Integral,4
0817805,Maternal II,Integral,9
0817807,Maternal II,Integral,0
0833505,Maternal II,Integral,5
0833601,Maternal II,Integral,3
0833602,Maternal II,Integral,0
0833603,Maternal II,Integral,8
0833801,Maternal II,Integral,13
0833803,Maternal II,Integral,6
0833805,Maternal II,Integral,5
0833807,Maternal II,Integral,1
0833809,Maternal II,Integral,11
0833810,Maternal II,Integral,2
0833811,Maternal II,Integral,14
0918601,Maternal II,Integral,4
0918604,Maternal II,Integral,12
0918605,Maternal II,Integral,4
0918606,Maternal II,Integral,8
0918607,Maternal II,Integral,0
0918609,Maternal II,Integral,9
0918610,Maternal II,Integral,7
0918611,Maternal II,Integral,18
0918613,Maternal II,Integral,7
0918615,Maternal II,Integral,4
0918616,Maternal II,Integral,2
0918619,Maternal II,Integral,15
0918620,Maternal II,Integral,4
0918621,Maternal II,Integral,12
0918803,Maternal II,Integral,2
0918804,Maternal II,Integral,2
0918805,Maternal II,Integral,9
0918807,Maternal II,Integral,15
0918808,Maternal II,Integral,16
0918809,Maternal II,Integral,8
0918812,Maternal II,Integral,4
0918813,Maternal II,Integral,5
0918814,Maternal II,Integral,12
0918816,Maternal II,Integral,5
0918820,Maternal II,Integral,23
0918821,Maternal II,Integral,0
0918822,Maternal II,Integral,8
0918823,Maternal II,Integral,4
0918824,Maternal II,Integral,2
0918825,Maternal II,Integral,4
0918826,Maternal II,Integral,4
0918827,Maternal II,Integral,6
0918828,Maternal II,Integral,4
0918829,Maternal II,Integral,5
0918831,Maternal II,Integral,18
0918832,Maternal II,Integral,2
0918833,Maternal II,Integral,2
0918834,Maternal II,Integral,15
0918835,Maternal II,Integral,9
0918836,Maternal II,Integral,5
0918837,Maternal II,Integral,1
0918839,Maternal II,Integral,11
1019601,Maternal II,Integral,2
1019602,Maternal II,Integral,2
1019603,Maternal II,Integral,1
1019604,Maternal II,Integral,12
1019605,Maternal II,Integral,6
1019607,Maternal II,Integral,1
1019609,Maternal II,Integral,6
1019610,Maternal II,Integral,5
1019611,Maternal II,Integral,8
1019612,Maternal II,Integral,7
1019614,Maternal II,Integral,5
1019615,Maternal II,Integral,18
1019616,Maternal II,Integral,4
1019618,Maternal II,Integral,5
1019619,Maternal II,Integral,4
1019620,Maternal II,Integral,8
1019621,Maternal II,Integral,4
1019624,Maternal II,Integral,7
1019625,Maternal II,Integral,8
1019626,Maternal II,Integral,11
1019627,Maternal II,Integral,20
1019628,Maternal II,Integral,0
1019630,Maternal II,Integral,0
1019631,Maternal II,Integral,2
1019632,Maternal II,Integral,2
1019633,Maternal II,Integral,5
1019801,Maternal II,Integral,6
1019802,Maternal II,Integral,2
1019803,Maternal II,Integral,3
1019804,Maternal II,Integral,1
1019806,Maternal II,Integral,2
1019807,Maternal II,Integral,7
1019808,Maternal II,Integral,0
1019809,Maternal II,Integral,4
1019810,Maternal II,Integral,0
1019811,Maternal II,Integral,0
1019818,Maternal II,Integral,3
1019820,Maternal II,Integral,9
1019821,Maternal II,Integral,5
1019822,Maternal II,Integral,1
1019824,Maternal II,Integral,1
1019826,Maternal II,Integral,3
1019827,Maternal II,Integral,3
1019828,Maternal II,Integral,2
1019829,Maternal II,Integral,1
1019830,Maternal II,Integral,3
1019831,Maternal II,Integral,4
1026602,Maternal II,Integral,10
1026603,Maternal II,Integral,7
1026801,Maternal II,Integral,0
1026802,Maternal II,Integral,0
1026805,Maternal II,Integral,6
1026806,Maternal II,Integral,6
1026807,Maternal II,Integral,7
1026809,Maternal II,Integral,6
1026810,Maternal II,Integral,2
1120201,Maternal II,Integral,4
1120601,Maternal II,Integral,30
1120602,Maternal II,Integral,9
1120603,Maternal II,Integral,13
1120604,Maternal II,Integral,5
1120605,Maternal II,Integral,11
1120606,Maternal II,Integral,2
1120801,Maternal II,Integral,5
1120802,Maternal II,Integral,2
1120804,Maternal II,Integral,8
0101601,Maternal II,Parcial,14
0101604,Maternal II,Parcial,6
0101605,Maternal II,Parcial,10
0101606,Maternal II,Parcial,29
0101801,Maternal II,Parcial,36
0103607,Maternal II,Parcial,20
0103802,Maternal II,Parcial,9
0103806,Maternal II,Parcial,20
0107606,Maternal II,Parcial,2
0107609,Maternal II,Parcial,18
0107801,Maternal II,Parcial,10
0107803,Maternal II,Parcial,19
0410603,Maternal II,Parcial,8
0431803,Maternal II,Parcial,7
0514009,Maternal II,Parcial,4
0514802,Maternal II,Parcial,2
0514803,Maternal II,Parcial,2
0515021,Maternal II,Parcial,5
0515802,Maternal II,Parcial,23
0622603,Maternal II,Parcial,7
0622801,Maternal II,Parcial,2
0622810,Maternal II,Parcial,0
0625601,Maternal II,Parcial,8
0625608,Maternal II,Parcial,2
0625611,Maternal II,Parcial,2
0625615,Maternal II,Parcial,0
0625802,Maternal II,Parcial,10
0625816,Maternal II,Parcial,3
0716602,Maternal II,Parcial,12
0716604,Maternal II,Parcial,7
0716814,Maternal II,Parcial,4
0716815,Maternal II,Parcial,10
0724603,Maternal II,Parcial,5
0817505,Maternal II,Parcial,32
0817601,Maternal II,Parcial,24
0817607,Maternal II,Parcial,8
0817608,Maternal II,Parcial,10
0817609,Maternal II,Parcial,27
0817610,Maternal II,Parcial,19
0817612,Maternal II,Parcial,2
0817614,Maternal II,Parcial,2
0817616,Maternal II,Parcial,29
0817617,Maternal II,Parcial,4
0817618,Maternal II,Parcial,4
0817619,Maternal II,Parcial,0
0817801,Maternal II,Parcial,1
0817802,Maternal II,Parcial,26
0817803,Maternal II,Parcial,0
0817806,Maternal II,Parcial,7
0817807,Maternal II,Parcial,2
0817808,Maternal II,Parcial,0
0817809,Maternal II,Parcial,18
0817810,Maternal II,Parcial,32
0817814,Maternal II,Parcial,4
0817815,Maternal II,Parcial,5
0833602,Maternal II,Parcial,27
0833802,Maternal II,Parcial,23
0833806,Maternal II,Parcial,8
0833808,Maternal II,Parcial,7
0918602,Maternal II,Parcial,2
0918603,Maternal II,Parcial,11
0918606,Maternal II,Parcial,5
0918607,Maternal II,Parcial,2
0918608,Maternal II,Parcial,4
0918614,Maternal II,Parcial,18
0918615,Maternal II,Parcial,26
0918616,Maternal II,Parcial,0
0918617,Maternal II,Parcial,5
0918618,Maternal II,Parcial,18
0918620,Maternal II,Parcial,21
0918801,Maternal II,Parcial,4
0918802,Maternal II,Parcial,10
0918804,Maternal II,Parcial,15
0918806,Maternal II,Parcial,12
0918810,Maternal II,Parcial,2
0918811,Maternal II,Parcial,7
0918814,Maternal II,Parcial,19
0918815,Maternal II,Parcial,15
0918817,Maternal II,Parcial,3
0918818,Maternal II,Parcial,6
0918819,Maternal II,Parcial,31
0918821,Maternal II,Parcial,2
0918823,Maternal II,Parcial,11
0918824,Maternal II,Parcial,2
0918825,Maternal II,Parcial,6
0918826,Maternal II,Parcial,3
0918828,Maternal II,Parcial,5
0918830,Maternal II,Parcial,0
0918833,Maternal II,Parcial,4
0918836,Maternal II,Parcial,3
0918838,Maternal II,Parcial,2
1019606,Maternal II,Parcial,17
1019613,Maternal II,Parcial,0
1019623,Maternal II,Parcial,4
1019815,Maternal II,Parcial,3
1026601,Maternal II,Parcial,22
1026604,Maternal II,Parcial,12
1026803,Maternal II,Parcial,7
1026811,Maternal II,Parcial,0
