unidade,g,h,ociosas
0817603,Berçário,Integral,0
0817615,Berçário,Integral,1
0817804,Berçário,Integral,2
0817806,Berçário,Integral,2
0833601,Berçário,Integral,3
0833603,Berçário,Integral,0
0833801,Berçário,Integral,4
0833802,Berçário,Integral,3
0833807,Berçário,Integral,24
0833809,Berçário,Integral,2
0833810,Berçário,Integral,7
0833811,Berçário,Integral,0
0918601,Berçário,Integral,4
0918607,Berçário,Integral,0
0918613,Berçário,Integral,0
0918616,Berçário,Integral,0
0918619,Berçário,Integral,2
0918620,Berçário,Integral,2
0918621,Berçário,Integral,10
0918803,Berçário,Integral,0
0918805,Berçário,Integral,0
0918806,Berçário,Integral,5
0918807,Berçário,Integral,8
0918808,Berçário,Integral,0
0918813,Berçário,Integral,12
0918814,Berçário,Integral,2
0918815,Berçário,Integral,8
0918823,Berçário,Integral,2
0918824,Berçário,Integral,0
0918825,Berçário,Integral,0
0918826,Berçário,Integral,11
0918827,Berçário,Integral,1
0918828,Berçário,Integral,4
0918829,Berçário,Integral,0
0918831,Berçário,Integral,1
0918832,Berçário,Integral,1
0918833,Berçário,Integral,0
0918834,Berçário,Integral,15
0918835,Berçário,Integral,3
0918836,Berçário,Integral,5
0918837,Berçário,Integral,3
1019602,Berçário,Integral,0
1019609,Berçário,Integral,0
1019612,Berçário,Integral,0
1019614,Berçário,Integral,0
1019620,Berçário,Integral,9
1019623,Berçário,Integral,0
1019627,Berçário,Integral,9
1019628,Berçário,Integral,3
1019631,Berçário,Integral,0
1019632,Berçário,Integral,0
1019801,Berçário,Integral,0
1019803,Berçário,Integral,2
1019806,Berçário,Integral,0
1019809,Berçário,Integral,16
1019821,Berçário,Integral,5
1019826,Berçário,Integral,0
1019827,Berçário,Integral,0
1019828,Berçário,Integral,0
1019829,Berçário,Integral,1
1019830,Berçário,Integral,2
1019831,Berçário,Integral,0
1026802,Berçário,Integral,2
1026805,Berçário,Integral,2
1026806,Berçário,Integral,1
1026807,Berçário,Integral,0
1026809,Berçário,Integral,0
1026810,Berçário,Integral,0
1120601,Berçário,Integral,10
1120602,Berçário,Integral,9
1120603,Berçário,Integral,18
1120604,Berçário,Integral,8
1120605,Berçário,Integral,1
1120606,Berçário,Integral,0
1120801,Berçário,Integral,2
1120802,Berçário,Integral,2
1120804,Berçário,Integral,3
0101606,Berçário,Parcial,21
0101801,Berçário,Parcial,13
0103607,Berçário,Parcial,22
0103802,Berçário,Parcial,30
0107609,Berçário,Parcial,31
0625615,Berçário,Parcial,0
0817601,Berçário,Parcial,6
0817605,Berçário,Parcial,10
0817607,Berçário,Parcial,0
0817609,Berçário,Parcial,2
0817612,Berçário,Parcial,3
0817614,Berçário,Parcial,2
0817617,Berçário,Parcial,4
0817619,Berçário,Parcial,0
0817801,Berçário,Parcial,0
0817803,Berçário,Parcial,3
0817807,Berçário,Parcial,2
0817808,Berçário,Parcial,0
0817814,Berçário,Parcial,1
0817815,Berçário,Parcial,0
0833806,Berçário,Parcial,1
0833808,Berçário,Parcial,6
0918614,Berçário,Parcial,0
0918617,Berçário,Parcial,32
0918620,Berçário,Parcial,15
0918801,Berçário,Parcial,3
0918802,Berçário,Parcial,13
0918817,Berçário,Parcial,5
0918822,Berçário,Parcial,5
1026601,Berçário,Parcial,19
1026604,Berçário,Parcial,0
0101602,Maternal I,Integral,18
0101603,Maternal I,Integral,3
0101607,Maternal I,Integral,2
0101802,Maternal I,Integral,2
0102601,Maternal I,Integral,3
0102602,Maternal I,Integral,4
0102604,Maternal I,Integral,0
0102605,Maternal I,Integral,3
0102606,Maternal I,Integral,4
0103601,Maternal I,Integral,29
0103602,Maternal I,Integral,0
0103604,Maternal I,Integral,2
0103605,Maternal I,Integral,1
0103606,Maternal I,Integral,2
0103801,Maternal I,Integral,0
0103804,Maternal I,Integral,1
0103805,Maternal I,Integral,8
0103807,Maternal I,Integral,14
0107601,Maternal I,Integral,18
0107602,Maternal I,Integral,5
0107603,Maternal I,Integral,0
0107604,Maternal I,Integral,3
0107605,Maternal I,Integral,4
0107607,Maternal I,Integral,0
0107608,Maternal I,Integral,0
0107610,Maternal I,Integral,0
0121001,Maternal I,Integral,1
0123601,Maternal I,Integral,22
0123603,Maternal I,Integral,21
0204601,Maternal I,Integral,6
0204602,Maternal I,Integral,5
0204805,Maternal I,Integral,3
0204806,Maternal I,Integral,3
0205601,Maternal I,Integral,8
