unidade,bairro_unid
0724806,RECREIO DOS BANDEIRANTES
0724807,BARRA DA TIJUCA
0724808,RECREIO DOS BANDEIRANTES
0724809,VARGEM PEQUENA
0734801,CIDADE DE DEUS
0734802,JACAREPAGUA
0734803,CIDADE DE DEUS
0734804,CIDADE DE DEUS
0734805,CIDADE DE DEUS
0716001,JACAREPAGUA
0716002,JACAREPAGUA
0716003,CURICICA
0716004,TAQUARA
0716005,JACAREPAGUA
0716006,CAMORIM
0716007,JACAREPAGUA
0716008,JACAREPAGUA
0716009,JACAREPAGUA
0716010,ANIL
0716011,ANIL
0716012,ANIL
0716013,ANIL
0716014,GARDENIA AZUL
0716025,FREGUESIA (JACAREPAGUA)
0716026,FREGUESIA (JACAREPAGUA)
0716027,FREGUESIA (JACAREPAGUA)
0716028,FREGUESIA (JACAREPAGUA)
0716029,PECHINCHA
0716030,PECHINCHA
0716031,PECHINCHA
0716032,FREGUESIA (JACAREPAGUA)
0716033,RIO DAS PEDRAS
0716034,CURICICA
0716035,CURICICA
0716036,CURICICA
0716037,TAQUARA
0716038,TAQUARA
0716039,TAQUARA
0716040,TAQUARA
0716041,TAQUARA
0716042,TAQUARA
0716043,TAQUARA
0716044,TAQUARA
0716045,TAQUARA
0716046,TAQUARA
0716047,TAQUARA
0716048,TAQUARA
0716049,TAQUARA
0716051,TAQUARA
0716052,TAQUARA
0716053,TAQUARA
0716054,TANQUE
0716055,TANQUE
0716056,TANQUE
0716057,TANQUE
0716059,PRACA SECA
0716060,PRACA SECA
0716061,PRACA SECA
0716062,PRACA SECA
0716063,PRACA SECA
0716065,VILA VALQUEIRE
0716066,VILA VALQUEIRE
0716067,VILA VALQUEIRE
0716068,VILA VALQUEIRE
0716069,ANIL
0716070,PRACA SECA
0716071,ANIL
0716072,CURICICA
0716073,JACAREPAGUA
0716075,RIO DAS PEDRAS - JACAREPAGUA
0716076,ANIL -JACAREPAGUA
0716077,RIO DAS PEDRAS
0716078,PRACA SECA
0716079,GARDENIA AZUL
0716080,ANIL
0716081,ANIL
0716082,CURICICA
0716083,RIO DAS PEDRAS
0716084,RIO DAS PEDRAS
0716086,RIO DAS PEDRAS
0724001,ITANHANGA
0724002,BARRA DA TIJUCA
0724003,BARRA DA TIJUCA
0724004,BARRA DA TIJUCA
0724005,BARRA DA TIJUCA
0724006,BARRA DA TIJUCA
0724007,BARRA DA TIJUCA
0724008,BARRA DA TIJUCA
0724009,BARRA DA TIJUCA
0724010,BARRA DA TIJUCA
0724011,BARRA DA TIJUCA
0724013,BARRA DA TIJUCA
0724014,BARRA DA TIJUCA
0724015,BARRA DA TIJUCA
0724016,CURICICA
0724017,VARGEM PEQUENA
0724018,VARGEM PEQUENA
0724019,VARGEM PEQUENA
0724020,VARGEM GRANDE
0724021,VARGEM GRANDE
0724022,VARGEM GRANDE
0724023,RECREIO DOS BANDEIRANTES
0724024,RECREIO DOS BANDEIRANTES
0724026,VARGEM PEQUENA
0724027,BARRA DA TIJUCA
0724028,RECREIO DOS BANDEIRANTES
0724030,BARRA DA TIJUCA
0724501,BARRA DA TIJUCA
0734001,CIDADE DE DEUS
0734002,CIDADE DE DEUS
0734003,CIDADE DE DEUS
0734005,CIDADE DE DEUS
0734006,CIDADE DE DEUS
0734007,CIDADE DE DEUS
0734008,CIDADE DE DEUS
0734009,CIDADE DE DEUS
0734010,CIDADE DE DEUS
0817202,BANGU
0817207,BANGU
0817501,SENADOR CAMARA
0817502,BANGU
0817503,PADRE MIGUEL
0817504,SENADOR CAMARA
0817505,BANGU
0817506,BANGU
0817507,PADRE MIGUEL
0817508,PADRE MIGUEL
0817509,BANGU
0833201,REALENGO
0833502,REALENGO
0833503,REALENGO
0833504,REALENGO
0833505,SULACAP
0817601,SENADOR CAMARA
0817602,VILA KENNEDY
0817603,BANGU
0817604,BANGU
0817605,BANGU
0817606,PADRE MIGUEL
0817607,BANGU
0817608,BANGU
0817609,PADRE MIGUEL
0817610,SENADOR CAMARA
0817611,PADRE MIGUEL
0817612,BANGU
0817613,PADRE MIGUEL
0817614,SENADOR CAMARA
0817615,BANGU
0817616,BANGU
0817617,BANGU
0817618,SANTISSIMO
0817619,BANGU
0833601,REALENGO
0833602,REALENGO
0833603,DEODORO
08002,REALENGO
08003,JABOUR
08004,VILA KENNEDY
08005,REALENGO
08006,MAGALHAES BASTOS
08007,BANGU
08008,REALENGO
08009,SENADOR CAMARA
08010,REALENGO
08011,REALENGO
08013,REALENGO
08014,BANGU
08016,REALENGO
08018,SENADOR CAMARA
08019,REALENGO
08021,PADRE MIGUEL
08023,VILA KENNEDY
08025,JARDIM SULACAP
08027,BANGU
08028,REALENGO
08029,REALENGO
08030,SENADOR CAMARA
08031,SENADOR CAMARA
08032,BANGU
08033,MAGALHAES BASTOS
08034,SENADOR CAMARA
0817801,BANGU
0817802,BANGU
0817803,SENADOR CAMARA
0817804,PADRE MIGUEL
0817805,BANGU
0817806,BANGU
0817807,BANGU
0817808,SENADOR CAMARA
0817809,BANGU
0817810,PADRE MIGUEL
0817811,BANGU
0817812,SENADOR CAMARA
0817813,BANGU
0817814,BANGU
0817815,BANGU
0817816,PADRE MIGUEL
0833801,REALENGO
0833802,REALENGO
0833803,VILA MILITAR
0833804,REALENGO
0833805,DEODORO
0833806,REALENGO
0833807,REALENGO
0833808,REALENGO
0833809,REALENGO
0833810,REALENGO
0833811,MAGALHAES BASTOS
0833812,DEODORO
0833813,MAGALHAES BASTOS
0833814,REALENGO
0833815,REALENGO
0817008,PADRE MIGUEL
0817009,PADRE MIGUEL
0817010,PADRE MIGUEL
0817011,PADRE MIGUEL
0817012,BANGU
0817013,BANGU
0817014,BANGU
0817015,BANGU
0817016,BANGU
0817017,BANGU
0817018,BANGU
0817019,BANGU
0817020,BANGU
0817021,BANGU
0817022,BANGU
0817023,BANGU
0817024,BANGU
0817026,BANGU
0817027,BANGU
0817028,BANGU
0817029,SENADOR CAMARA
0817030,SENADOR CAMARA
0817031,SENADOR CAMARA
0817032,SENADOR CAMARA
0817033,SENADOR CAMARA
0817034,JABOUR
0817035,SENADOR CAMARA
0817036,SANTISSIMO
0817037,SENADOR CAMARA
0817038,JABOUR
0817039,SENADOR CAMARA
0817040,SENADOR CAMARA
0817041,JABOUR
0817042,SENADOR CAMARA
0817043,SANTISSIMO
0817044,SANTISSIMO
0817045,SENADOR CAMARA
0817046,SENADOR CAMARA
0817047,PADRE MIGUEL
0817048,PADRE MIGUEL
0817049,PADRE MIGUEL
0817050,PADRE MIGUEL
0817051,PADRE MIGUEL
0817052,PADRE MIGUEL
0817054,PADRE MIGUEL
0817055,PADRE MIGUEL
0817056,BANGU
0817057,BANGU
0817058,BANGU
0817059,BANGU
0817060,VILA KENNEDY
0817061,VILA KENNEDY
0817062,PADRE MIGUEL
0817063,BANGU
0817064,BANGU
0817065,PADRE MIGUEL
0817066,BANGU
0817067,VILA KENNEDY
0817068,PADRE MIGUEL
0817069,BANGU
0817070,G. DA SILVEIRA
0817071,BANGU
0817072,BANGU
0817074,BANGU
0817075,PADRE MIGUEL
0817076,BANGU
0817077,BANGU
0817078,BANGU
0817079,BANGU
0817080,BANGU
0817081,BANGU
0817082,BANGU
0817083,BANGU
0817084,BANGU
0817127,BANGU
0817128,BANGU
0817132,BANGU
0817133,SENADOR CAMARA
0833001,GUADALUPE
0833002,DEODORO
0833004,DEODORO
0833005,DEODORO
0833006,DEODORO
0833007,VILA MILITAR
0833009,SULACAP
0833010,SULACAP
0833011,SULACAP
0833012,MAGALHAES BASTOS
0833013,MAGALHAES BASTOS
0833014,MAGALHAES BASTOS
0833015,MAGALHAES BASTOS
0833016,MAGALHAES BASTOS
0833017,MAGALHAES BASTOS
0833018,SULACAP
0833019,MAGALHAES BASTOS
0833020,REALENGO
0833021,REALENGO
0833022,REALENGO
0833023,REALENGO
0833024,REALENGO
0833025,REALENGO
0833026,REALENGO
0833027,REALENGO
0833028,REALENGO
0833029,REALENGO
0833030,REALENGO
0833031,REALENGO
0833032,REALENGO
0833033,REALENGO
0833034,REALENGO
0833035,REALENGO
0833036,REALENGO
0833037,REALENGO
0833038,REALENGO
0833039,REALENGO
0833040,REALENGO
0833041,REALENGO
0833042,REALENGO
0833043,REALENGO
0833044,REALENGO
0833045,REALENGO
0833046,REALENGO
0833048,REALENGO
0833501,DEODORO
0918201,INHOAIBA
0918203,CAMPO GRANDE
0918205,COSMOS
0918503,CAMPO GRANDE
0918504,CAMPO GRANDE
0918505,CAMPO GRANDE
0918506,CAMPO GRANDE/BENJAMIN DUMONT
0918507,CAMPO GRANDE
0918508,CAMPO GRANDE/CENTRO
0918509,CAMPO GRANDE
0918510,CAMPO GRANDE
0918511,SANTISSIMO
0918601,INHOAIBA
0918602,INHOAIBA
0918603,COSMOS
0918604,CAMPO GRANDE
0918605,INHOAIBA
0918606,CAMPO GRANDE
0918607,CAMPO GRANDE
0918608,CAMPO GRANDE
0918609,INHOAIBA - CAMPO GRANDE
0918610,COSMOS
0918611,CAMPO GRANDE
0918613,SANTISSIMO
0918614,CAMPO GRANDE
0918615,INHOAIBA
0918616,CAMPO GRANDE
0918617,INHOAIBA
0918618,COSMOS
0918619,CAMPO GRANDE
0918620,CAMPO GRANDE
0918621,CAMPO GRANDE
09001,CAMPO GRANDE
09002,CAMPO GRANDE
09003,CAMPO GRANDE
09004,CAMPO GRANDE
09007,CAMPO GRANDE
09008,CAMPO GRANDE
09009,CAMPO GRANDE
09010,CAMPO GRANDE
09011,CAMPO GRANDE
09012,CAMPO GRANDE
09013,SANTISSIMO
09014,COSMOS
09017,CAMPO GRANDE
09018,COSMOS
09019,COSMOS
09020,CAMPO GRANDE
09021,INHOAIBA
09022,INHOAIBA
09023,COSMOS
09024,INHOAIBA
09025,CAMPO GRANDE
09026,COSMOS
09027,COSMOS
09028,CAMPO GRANDE
09029,CAMPO GRANDE
09030,CAMPO GRANDE
09031,CAMPO GRANDE
09032,CAMPO GRANDE
09033,CAMPO GRANDE
09034,CAMPO GRANDE
09035,CAMPO GRANDE
09036,SENADOR VASCONCELOS
09037,CAMPO GRANDE
09039,CAMPO GRANDE
09040,COSMOS
09041,CAMPO GRANDE
09042,CAMPO GRANDE
09043,SENADOR VASCONCELOS
09044,SENADOR VASCONCELOS
09045,CAMPO GRANDE
09046,SANTISSIMO
09047,CAMPO GRANDE
09048,SANTISSIMO
09049,CAMPO GRANDE
09050,CAMPO GRANDE
09051,SANTISSIMO
09052,SANTISSIMO
09054,CAMPO GRANDE
0918801,COSMOS
0918802,CAMPO GRANDE
0918803,CAMPO GRANDE
0918804,CAMPO GRANDE
0918805,CAMPO GRANDE
0918806,COSMOS
0918807,CAMPO GRANDE
0918808,CAMPO GRANDE
0918809,CAMPO GRANDE
0918810,CAMPO GRANDE
0918811,INHOAIBA
0918812,INHOAIBA
0918813,CAROBINHA -CAMPO GRANDE
0918814,CAMPO GRANDE
0918815,CAMPO GRANDE
0918816,CAMPO GRANDE
0918817,CAMPO GRANDE
0918818,INHOAIBA
0918819,CAMPO GRANDE
0918820,CAMPO GRANDE
0918821,CAMPO GRANDE
0918822,CAMPO GRANDE
0918823,CAMPO GRANDE
0918824,CAMPO GRANDE
0918825,CAMPO GRANDE
0918826,COSMOS
0918827,COSMOS
0918828,CAMPO GRANDE
0918829,INHOAIBA
0918830,CAMPO GRANDE
0918831,INHOAIBA
0918832,COSMOS
0918833,COSMOS
0918834,CAMPO GRANDE
0918835,CAMPO GRANDE
0918836,SANTISSIMO
0918837,SANTISSIMO
0918838,SENADOR VASCONCELOS
0918839,CAMPO GRANDE
0918001,INHOAIBA
0918002,INHOAIBA
0918003,INHOAIBA
0918004,INHOAIBA
0918005,INHOAIBA
0918006,INHOAIBA
0918007,COSMOS
0918008,COSMOS
0918009,COSMOS
0918010,COSMOS
0918011,COSMOS
0918012,COSMOS
0918013,CAMPO GRANDE
0918016,CAMPO GRANDE
0918017,CAMPO GRANDE
0918019,CAMPO GRANDE
0918020,CAMPO GRANDE
0918021,CAMPO GRANDE
0918022,CAMPO GRANDE
0918024,CAMPO GRANDE
0918025,CAMPO GRANDE
0918026,CAMPO GRANDE
0918027,CAMPO GRANDE
0918028,CAMPO GRANDE
0918029,CAMPO GRANDE/MONTEIRO
0918030,CAMPO GRANDE/MONTEIRO
0918031,CAMPO GRANDE/CENTRO
0918032,CAMPO GRANDE/MONTEIRO
0918033,CAMPO GRANDE/CENTRO
0918034,CAMPO GRANDE/CACHAMORRA
0918035,CAMPO GRANDE
0918036,INHOAIBA/
0918037,INHOAIBA/ DUMONT
0918038,CAMPO GRANDE/LOTEAMENTO JOARI
0918039,CAMPO GRANDE/DUMONT
0918040,CAMPO GRANDE
0918041,COSMOS/SANTA MARGARIDA
0918042,SANTISSIMO
0918043,SANTISSIMO
0918044,SANTISSIMO
0918045,CAMPO GRANDE/POSSE
0918046,SANTISSIMO
0918047,SENADOR VASCONCELOS
0918048,SENADOR VASCONCELOS
0918049,SENADOR VASCONCELOS
0918051,CAMPO GRANDE
0918052,CAMPO GRANDE
0918053,CAMPO GRANDE
0918054,CAMPO GRANDE
0918055,CAMPO GRANDE
0918056,CAMPO GRANDE
0918057,CAMPO GRANDE
0918058,CAMPO GRANDE
0918059,CAMPO GRANDE
0918060,CAMPO GRANDE
0918061,CAMPO GRANDE
0918062,CAMPO GRANDE
0918064,CAMPO GRANDE
0918065,INHOAIBA
0918068,CAMPO GRANDE
0918069,CAMPO GRANDE
0918070,CAMPO GRANDE
0918071,CAMPO GRANDE
0918072,NOVA IGUACU
0918073,INHOAIBA
0918074,CAMPO GRANDE
0918075,CAMPO GRANDE
0918076,CAMPO GRANDE
0918077,CAMPO GRANDE
0918078,CAMPO GRANDE
0918079,CAMPO GRANDE
0918080,CAMPO GRANDE
0918081,CAMPO GRANDE
0918082,CAMPO GRANDE
0918083,CAMPO GRANDE
0918084,CAMPO GRANDE
0918085,SANTISSIMO
0918086,CAMPO GRANDE
0918087,CAMPO GRANDE
0918088,COSMOS
0918094,COSMOS
0918095,INHOAIBA
0918096,COSMOS
0918097,INHOAIBA
0918098,COSMOS
0918099,COSMOS
0918100,CAMPO GRANDE
0918101,CAMPO GRANDE
0918102,COSMOS
0918103,INHOAIBA
0918104,CAMPO GRANDE
0918105,SANTISSIMO
0918501,CAMPO GRANDE
0918502,CAMPO GRANDE
1019201,SEPETIBA
1019202,SANTA CRUZ
1019205,PACIENCIA
1019206,SANTA CRUZ
1019207,SEPETIBA
1019209,SANTA CRUZ
1019210,SANTA CRUZ
1019211,SANTA CRUZ
1019501,SANTA CRUZ
1019502,SANTA CRUZ
1019503,PACIENCIA
1026201,PEDRA DE GUARATIBA
1026202,PEDRA DE GUARATIBA
1019601,SANTA CRUZ
1019602,SANTA CRUZ
1019603,"JARDIM DOS VIEIRAS, PACIENCIA"
1019604,SANTA CRUZ
1019605,SANTA CRUZ
1019606,PACIENCIA
1019607,PACIENCIA
1019608,SANTA CRUZ
1019609,SANTA CRUZ
1019610,SEPETIBA
1019611,SANTA CRUZ
1019612,PACIENCIA
1019613,PACIENCIA
1019614,SANTA CRUZ
1019615,SANTA CRUZ
1019616,SANTA CRUZ
1019618,SANTA CRUZ
1019619,SANTA CRUZ
1019620,SANTA CRUZ
1019621,SEPETIBA
1019622,SANTA CRUZ
1019623,PACIENCIA
1019624,SANTA CRUZ
1019625,SEPETIBA
1019626,SEPETIBA
1019627,SEPETIBA
1019628,SANTA CRUZ
1019630,SANTA CRUZ
1019631,SANTA CRUZ
1019632,PACIENCIA
1019633,SEPETIBA
1026601,GUARATIBA
1026602,PEDRA DE GUARATIBA
1026603,PEDRA DE GUARATIBA
1026604,GUARATIBA
10001,SANTA CRUZ
10004,SANTA CRUZ
10005,PEDRA DE GUARATIBA
10006,SANTA CRUZ
10008,SANTA CRUZ
10009,SEPETIBA
10010,SANTA CRUZ
10011,SANTA CRUZ
10013,SANTA CRUZ
10014,PEDRA DE GUARATIBA
10018,SEPETIBA
10019,SANTA CRUZ
10020,SANTA CRUZ
10022,PACIENCIA
10023,SANTA CRUZ
10024,SANTA CRUZ
10026,PACIENCIA
10027,SANTA CRUZ
10028,SANTA CRUZ
10029,SANTA CRUZ
10030,PEDRA DE GUARATIBA
10032,SANTA CRUZ
10033,SEPETIBA
10034,SANTA CRUZ
10035,SEPETIBA
10036,SANTA CRUZ
10037,SANTA CRUZ
10039,SANTA CRUZ
10040,SEPETIBA
10041,SANTA CRUZ
10042,SEPETIBA
10043,PACIENCIA
10044,SANTA CRUZ
10045,SANTA CRUZ
10047,SANTA CRUZ
10053,SANTA CRUZ
10054,SANTA CRUZ
10055,SEPETIBA
10056,SANTA CRUZ
10057,PACIENCIA
10058,SEPETIBA
10059,SANTA CRUZ
10060,SANTA CRUZ
10061,SANTA CRUZ
10062,GUARATIBA
10063,GUARATIBA
10064,PACIENCIA
10065,SEPETIBA
10066,SANTA CRUZ
10067,SANTA CRUZ
10068,GUARATIBA
10069,PACIENCIA
10070,SANTA CRUZ
10071,PEDRA DE GUARATIBA
10073,GUARATIBA
10074,PACIENCIA
10075,SANTA CRUZ
10076,SANTA CRUZ
10077,SANTA CRUZ
10078,SANTA CRUZ
10080,PEDRA DE GUARATIBA
10081,GUARATIBA
10082,PACIENCIA
10083,GUARATIBA
10084,GUARATIBA
10085,GUARATIBA
10086,GUARATIBA
10087,GUARATIBA
10088,GUARATIBA
10089,PEDRA DE GUARATIBA
10090,PEDRA DE GUARATIBA
10091,GUARATIBA
1019801,PACIENCIA
1019802,PACIENCIA
1019803,SANTA CRUZ
1019804,SEPETIBA
1019805,SANTA CRUZ
1019806,SANTA CRUZ
1019807,SANTA CRUZ
1019808,PACIENCIA
1019809,SANTA CRUZ
1019810,SANTA CRUZ
1019811,SANTA CRUZ
1019812,PACIENCIA
1019813,PACIENCIA
1019814,PACIENCIA
1019815,PACIENCIA
1019816,SANTA CRUZ
1019817,SANTA CRUZ
1019818,PACIENCIA
1019819,SANTA CRUZ
1019820,SEPETIBA
1019821,SANTA CRUZ
1019822,SEPETIBA
1019823,SEPETIBA
1019824,SEPETIBA
1019826,SEPETIBA
1019827,SANTA CRUZ
1019828,SANTA CRUZ
1019829,SANTA CRUZ
1019830,SANTA CRUZ
1019831,SANTA CRUZ
1026801,GUARATIBA
1026802,PEDRA DE GUARATIBA
1026803,GUARATIBA
1026804,GUARATIBA
1026805,GUARATIBA
1026806,GUARATIBA
1026807,GUARATIBA
1026809,GUARATIBA
1026810,PEDRA DE GUARATIBA
1026811,GUARATIBA
1019001,SANTA CRUZ
1019002,SANTA CRUZ
1019003,PACIENCIA
1019004,PACIENCIA
1019005,PACIENCIA
1019006,PACIENCIA
1019007,SANTA CRUZ
1019008,SANTA CRUZ
1019009,SANTA CRUZ
1019010,SANTA CRUZ
1019011,SANTA CRUZ
1019012,SANTA CRUZ
1019013,SANTA CRUZ
1019014,SANTA CRUZ
1019015,SANTA CRUZ
1019016,SANTA CRUZ
1019017,SANTA CRUZ
1019018,PACIENCIA
1019019,SANTA CRUZ
1019020,SANTA CRUZ
1019021,SANTA CRUZ
1019022,SANTA CRUZ
1019023,SANTA CRUZ
1019024,SANTA CRUZ
1019025,SEPETIBA
1019026,SEPETIBA
1019027,SEPETIBA
1019028,SANTA CRUZ
1019029,SANTA CRUZ
1019030,SANTA CRUZ
1019031,PACIENCIA
1019032,PACIENCIA
1019033,PACIENCIA
1019034,PACIENCIA
1019035,SANTA CRUZ
1019036,PACIENCIA
1019037,SANTA CRUZ
1019038,COSMOS
1019039,SANTA CRUZ
1019040,SANTA CRUZ
1019041,SANTA CRUZ
1019042,SANTA CRUZ
1019043,PACIENCIA
1019044,SANTA CRUZ
1019045,SANTA CRUZ
1019046,SANTA CRUZ
1019047,SANTA CRUZ
1019048,SANTA CRUZ
1019049,SANTA CRUZ
1019050,SANTA CRUZ
1019051,SANTA CRUZ
1019052,SANTA CRUZ
1019053,SANTA CRUZ
1019054,S. FERNANDO SANTA CRUZ
1019055,SANTA CRUZ
1019056,PACIENCIA
1019057,SANTA CRUZ
1019058,PACIENCIA
1019059,SANTA CRUZ
1019060,PACIENCIA
1019062,SANTA CRUZ
1019064,SANTA CRUZ
1019065,SANTA CRUZ
1019072,SANTA CRUZ
1019073,SANTA CRUZ
1019074,SANTA CRUZ
1019075,SANTA CRUZ
1019076,SANTA CRUZ
1019078,SEPETIBA
1019079,SEPETIBA
1019080,SEPETIBA
1019081,SEPETIBA
1019082,SEPETIBA
1019084,SANTA CRUZ
1019085,SANTA CRUZ
1019086,SANTA CRUZ
1019089,PACIENCIA
1019092,SANTA CRUZ
1026001,GUARATIBA
1026002,GUARATIBA
1026003,GUARATIBA
1026004,GUARATIBA
1026005,ILHA DE GUARATIBA
1026006,GUARATIBA
1026007,GUARATIBA
1026008,GUARATIBA
1026009,GUARATIBA
1026010,PEDRA DE GUARATIBA
1026011,BARRA DE GUARATIBA
1026012,BARRA DE GUARATIBA
1026013,BARRA DE GUARATIBA
1026014,BARRA DE GUARATIBA
1026015,PEDRA DE GUARATIBA
1026016,PEDRA DE GUARATIBA
1026017,GUARATIBA
1026018,PEDRA DE GUARATIBA
1026019,GUARATIBA
1026020,PEDRA DE GUARATIBA
1026021,PEDRA DE GUARATIBA
1026024,GUARATIBA
1026025,GUARATIBA
1026026,PEDRA DE GUARATIBA
1026027,PEDRA DE GUARATIBA
1026028,GUARATIBA
1026029,GUARATIBA
1026030,GUARATIBA
1026031,GUARATIBA
1120201,COCOTA
1120502,BANCARIOS
1120503,PORTUGUESA
1120601,ILHA DO GOVERNADOR
1120602,ILHA DO GOVERNADOR
1120603,ILHA DO GOVERNADOR
1120604,ILHA DO GOVERNADOR
1120605,ILHA DO GOVERNADOR
1120606,ILHA DO GOVERNADOR
11001,ILHA DO GOVERNADOR / PARQUE ROYAL
11003,ILHA DO GOVERNADOR / PITANGUEIRAS
11004,ILHA DO GOVERNADOR / GUARABU
11006,ILHA DO GOVERNADOR / TAUA
11007,ILHA DO GOVERNADOR
11008,ILHA DO GOVERNADOR / TAUA
11009,FREGUESIA (ILHA DO GOV.)
11011,ILHA DO GOVERNADOR
1120801,ILHA DO GOVERNADOR
1120802,BANCARIOS - ILHA DO GOVERNADOR
1120803,GALEAO
1120804,ILHA DO GOVERNADOR
1120001,ZUMBI
1120002,PITANGUEIRAS
1120003,COCOTA
1120004,BANCARIOS
1120005,BANCARIOS
1120006,FREGUESIA (JACAREPAGUA)
1120007,FREGUESIA (JACAREPAGUA)
1120008,J. GUANABARA
1120009,J. GUANABARA
1120010,J. GUANABARA
1120012,J. GUANABARA
1120013,J. CARIOCA
1120014,GUARABU
1120015,MONERO
1120016,TAUA
1120017,TAUA
1120018,TAUA
1120019,MONERO
1120020,MONERO
1120021,PORTUGUESA
1120022,PORTUGUESA
1120023,J. GUANABARA
1120024,GALEAO
1120025,ITACOLOMI
1120028,TUBIACANGA
1120029,GALEAO
1120030,C. UNIVERSITARIA
1120031,PRACA DA BANDEIRA
1120032,ILHA DO GOVERNADOR
1120501,J. GUANABARA
